Test_ID,Theta1,Theta2,Pt
Test_146,-41.0,-28.0,16422.268749824758
Test_147,47.0,23.0,18337.610171054326
Test_148,46.0,-62.0,15167.89709263468
Test_149,24.0,-59.0,18488.535927105037
Test_150,15.0,-47.0,20401.415749413034
Test_151,-66.0,-82.0,7839.469686969595
Test_152,-23.0,-66.0,19520.730767560206
Test_153,50.0,-62.0,14286.851173680787
Test_154,-65.0,-65.0,10599.394286375713
Test_155,11.0,-32.0,21032.385995143206
Test_156,70.0,-86.0,6910.164352987085
Test_157,78.0,-26.0,18751.314085346956
Test_158,17.0,-43.0,20408.53420979199
Test_159,-9.0,-4.0,17066.94834169127
Test_160,47.0,-13.0,20665.2862093019
Test_161,-43.0,-45.0,15352.175073884922
Test_162,-71.0,-11.0,21339.9828165025
Test_163,-84.0,28.0,18210.240977751277
Test_164,-16.0,-5.0,17924.91288582107
Test_165,-5.0,10.0,16755.293177064803
Test_166,-61.0,-3.0,22131.98328592722
Test_167,-4.0,-6.0,16689.115446080476
Test_168,-5.0,-1.0,17139.540631082622
Test_284,16.0,16.0,18518.32541803028
Test_285,-21.0,55.0,19079.6016532544
Test_286,40.0,-87.0,12552.935520450395
Test_287,-77.0,22.0,19849.465707642335
Test_288,37.0,70.0,16209.397827074268
Test_169,58.0,-70.0,11097.69246060567
Test_170,-35.0,-50.0,15763.79095797676
Test_171,-6.0,-18.0,17410.69431437889
Test_172,-68.0,5.0,22001.661542988226
Test_173,82.0,-55.0,10147.57003477745
Test_174,-76.0,51.0,11586.020496456618
Test_175,-73.0,85.0,6486.307386958716
Test_176,-36.0,30.0,16882.71816026857
Test_177,25.0,-81.0,19145.919367808307
Test_178,27.0,63.0,17812.74790622233
Test_179,73.0,-44.0,15042.643394652185
Test_180,-14.0,88.0,21811.848537109374
Test_181,88.0,45.0,12392.318254241229
Test_182,-14.0,42.0,20666.746430570336
Test_183,37.0,63.0,15989.98335424239
Test_184,83.0,43.0,11956.04729499557
Test_185,-18.0,49.0,19624.96577963115
Test_186,-54.0,1.0,22179.04572113914
Test_187,-47.0,-37.0,15396.657748207082
Test_188,-40.0,56.0,15513.92063728736
Test_189,34.0,0.0,21657.906151661224
Test_190,-80.0,40.0,15648.583910240095
Test_191,-75.0,6.0,21874.91778887755
Test_192,89.0,-86.0,4973.9925900578555
Test_193,48.0,41.0,15388.243323403005
Test_194,-11.0,-16.0,17756.135113982586
Test_195,12.0,71.0,21996.260955284524
Test_196,-32.0,84.0,17519.585877242494
Test_197,-80.0,-38.0,15893.15974336097
Test_198,-82.0,-53.0,10577.037843011174
Test_199,-45.0,82.0,12884.544918881533
Test_200,88.0,-42.0,11926.17822368546
Test_201,-73.0,-27.0,18501.122888261427
Test_202,-24.0,-76.0,19533.891318677703
Test_203,33.0,58.0,16486.365230660547
Test_204,27.0,-22.0,20176.706110514904
Test_205,-58.0,-50.0,15043.964088905863
Test_206,4.0,90.0,10036.736432191612
Test_207,19.0,-83.0,19995.28621372993
Test_208,-87.0,47.0,11851.482992077586
Test_209,58.0,-69.0,11273.829196034098
Test_210,-10.0,23.0,18809.799572454758
Test_211,55.0,-59.0,13099.915601604815
Test_212,-63.0,54.0,13167.471008135466
Test_213,67.0,-42.0,15297.196516776994
Test_214,63.0,-14.0,21497.268914674736
Test_215,9.0,13.0,17607.910295194793
Test_216,-10.0,59.0,21611.4483428287
Test_217,21.0,56.0,19024.884481113513
Test_218,5.0,-15.0,17605.792968490783
Test_219,-7.0,65.0,22026.789682494044
Test_220,14.0,-23.0,19382.372791549784
Test_221,74.0,-56.0,10787.729413537414
Test_222,7.0,-80.0,21951.63874377695
Test_223,-78.0,-48.0,12156.378780918145
Test_224,-4.0,-43.0,21078.173809356336
Test_225,2.0,-73.0,22317.9362294314
Test_226,-42.0,80.0,12651.832225226417
Test_227,-42.0,-6.0,22052.64681319117
Test_228,60.0,-31.0,16621.60805151021
Test_229,42.0,86.0,12126.526532711148
Test_230,-44.0,-30.0,16287.154204140936
Test_231,-69.0,24.0,19224.879870378172
Test_232,-8.0,-27.0,20104.036356437533
Test_233,61.0,-20.0,19915.969943875163
Test_234,-49.0,-40.0,15308.929501320623
Test_235,-62.0,7.0,21835.9882752521
Test_236,16.0,-57.0,21051.064603649524
Test_237,-32.0,66.0,16872.448392359238
Test_238,64.0,-22.0,19034.095052135843
Test_239,30.0,17.0,19618.95197201205
Test_240,53.0,26.0,17734.917223634024
Test_241,13.0,6.0,17461.919738302284
Test_242,-31.0,60.0,17180.947617492322
Test_243,-63.0,-63.0,11471.812100818797
Test_244,85.0,-58.0,9219.000408770862
Test_245,-34.0,-14.0,19881.196425051658
Test_246,60.0,61.0,12071.324130888881
Test_247,-83.0,78.0,5902.682443111473
Test_248,6.0,27.0,19351.973849259746
Test_249,6.0,16.0,17597.91997942234
Test_250,-47.0,64.0,15084.932570751116
Test_251,-69.0,0.0,22172.860475327252
Test_252,-82.0,-45.0,12769.51346224902
Test_253,56.0,-34.0,16106.740025738418
Test_254,-75.0,-17.0,21039.167923651
Test_255,32.0,-60.0,16913.702942077303
Test_256,-25.0,-11.0,19397.504730784083
Test_257,65.0,80.0,8200.740123507769
Test_258,54.0,-18.0,20314.08596558775
Test_259,-6.0,38.0,22505.43002054607
