Test_ID,Theta1,Theta2,Pt
Test_001,65.0,19.0,11883.689336616457
Test_002,40.0,-51.0,15051.719343633324
Test_003,-44.0,65.0,14819.86159940393
Test_004,49.0,48.0,14541.092419008846
Test_005,-52.0,20.0,11945.675168478016
Test_006,-15.0,-74.0,11519.268269875518
Test_007,51.0,-83.0,10810.549702779803
Test_008,86.0,9.0,10578.048302415193
Test_009,-63.0,21.0,12169.950552578965
Test_010,-74.0,83.0,6280.453598146551
Test_011,-39.0,-9.0,9733.890548203535
Test_012,-56.0,9.0,10968.295036589167
Test_013,61.0,33.0,13481.817379516633
Test_014,19.0,79.0,11836.97535252171
Test_015,35.0,60.0,13928.14490190532
Test_016,75.0,-61.0,9519.634413185717
Test_017,-30.0,66.0,13338.55018445988
Test_018,-53.0,31.0,13360.533683726673
Test_019,-79.0,29.0,12603.188814681536
Test_020,-2.0,48.0,10453.829372697104
Test_021,-49.0,-67.0,13371.081158650577
Test_022,43.0,-33.0,13490.742375290216
Test_023,62.0,-67.0,10931.81936704126
Test_024,30.0,75.0,13026.34805709444
Test_025,80.0,-80.0,5746.097823470766
Test_026,-81.0,73.0,6539.812140283451
Test_027,54.0,-38.0,14411.451204999606
Test_028,36.0,-31.0,12622.517677536202
Test_029,52.0,-41.0,15012.800273997571
Test_030,15.0,-12.0,7019.964686042675
Test_031,-55.0,-62.0,12643.592078526903
Test_032,-19.0,-7.0,7138.842226522738
Test_033,-61.0,86.0,8390.439296862445
Test_034,-43.0,-15.0,10649.387755812872
Test_035,70.0,81.0,7040.651210886127
Test_036,8.0,25.0,8221.802120520624
Test_037,-85.0,67.0,7210.706300144536
Test_038,-56.0,52.0,13860.435036817478
Test_039,64.0,42.0,14390.238596004869
Test_040,-27.0,-54.0,12934.603963822761
Test_041,-2.0,-68.0,10941.037302130886
Test_042,84.0,51.0,10629.759028460054
Test_043,79.0,-71.0,7081.124779308349
Test_044,59.0,-56.0,13024.803805259839
Test_045,-18.0,-35.0,10310.002036813368
Test_046,-76.0,-77.0,6568.1449948229965
Test_047,42.0,27.0,12156.511443435398
Test_048,1.0,71.0,10962.490774758204
Test_049,-37.0,22.0,11051.242874233723
Test_050,-16.0,44.0,11077.304132637579
Test_051,28.0,57.0,13142.825051675727
Test_052,-79.0,34.0,13048.069762143889
Test_053,3.0,87.0,10404.735091540073
Test_054,-17.0,-44.0,11129.268944190359
Test_055,44.0,-49.0,16005.613343186307
Test_056,67.0,-19.0,11964.729549809259
Test_057,2.0,74.0,10814.741824109902
Test_058,82.0,19.0,11502.662644351682
Test_059,14.0,3.0,6303.205119492624
Test_060,44.0,-84.0,12615.720133458182
Test_061,0.0,-52.0,10734.35726798834
Test_062,33.0,26.0,11185.488583445414
Test_063,-75.0,38.0,13555.019472577782
Test_064,-20.0,55.0,12199.588325417377
Test_065,72.0,31.0,12952.538113184513
Test_066,75.0,72.0,7419.565016385373
Test_067,-83.0,68.0,7178.943630174751
Test_068,-26.0,-1.0,7692.502004082491
Test_069,-36.0,57.0,14251.42329879959
Test_070,-89.0,-51.0,10446.795723154193
Test_071,-45.0,-29.0,12657.737461312874
Test_072,-29.0,13.0,8890.560150185078
Test_073,-22.0,46.0,12020.795797504943
Test_074,-1.0,-8.0,5714.347172195282
Test_075,-22.0,82.0,12098.454443894243
Test_076,50.0,5.0,10412.690389569943
Test_077,-64.0,20.0,12110.551750814036
Test_078,29.0,-79.0,12885.642820555206
Test_079,-67.0,39.0,14027.459279597364
Test_080,-53.0,-64.0,13089.334686309607
Test_081,-38.0,-72.0,13759.55092467496
Test_082,85.0,48.0,11333.01589757382
Test_083,-12.0,85.0,10980.467804886668
Test_084,77.0,-48.0,12345.834724393235
Test_085,45.0,75.0,13351.969738419737
Test_086,-41.0,-54.0,14922.286716570861
Test_087,-38.0,89.0,13279.498703209269
Test_088,23.0,33.0,10862.510516743849
Test_089,18.0,-35.0,10427.405345516192
Test_090,-65.0,24.0,12483.207738073215
Test_091,11.0,36.0,9781.68070566345
Test_092,-38.0,-40.0,14494.332279912154
Test_093,-70.0,-78.0,7399.919981884105
Test_094,73.0,-55.0,11146.222182057583
Test_095,68.0,-30.0,13113.464906471572
Test_096,84.0,-52.0,10443.428228064722
Test_097,-46.0,-23.0,11851.504850951012
Test_098,-1.0,36.0,9290.54517553899
Test_099,90.0,40.0,13040.726759406283
Test_100,69.0,62.0,10253.380038245909
Test_101,48.0,15.0,11004.107235161126
Test_102,76.0,-24.0,12200.427861106486
Test_103,66.0,14.0,11431.84219866321
Test_104,83.0,3.0,10355.549730454402
Test_105,89.0,-77.0,5499.6369258983905
Test_106,-12.0,43.0,10591.991409937918
Test_107,69.0,8.0,10872.740305447256
Test_108,46.0,-72.0,13609.536936873674
Test_109,-69.0,17.0,11667.327648593035
Test_110,-51.0,1.0,10455.048784424334
Test_111,7.0,87.0,10564.308613264597
Test_112,21.0,-8.0,7384.446718169341
Test_113,35.0,-2.0,8912.884996840268
Test_114,-35.0,-78.0,13325.20852235981
Test_115,22.0,74.0,12263.06219140821
Test_116,12.0,-85.0,10981.986894822247
Test_117,-87.0,33.0,12776.383084694498
Test_118,54.0,-88.0,9819.677717168779
Test_119,31.0,-10.0,8921.338218599727
Test_120,-58.0,-26.0,12635.059440737396
Test_121,-50.0,14.0,11159.494607661636
Test_122,20.0,-73.0,12112.786404613718
Test_123,76.0,4.0,10560.213903465541
Test_124,42.0,-66.0,14552.249460019817
Test_125,-3.0,72.0,10916.61129660238
Test_126,-8.0,18.0,7214.331383624738
Test_127,-66.0,77.0,8304.546603829724
Test_128,59.0,-70.0,10881.903175474527
Test_129,24.0,11.0,8010.209923362969
Test_130,-59.0,12.0,11298.502571713912
Test_131,41.0,53.0,14991.155110684986
Test_132,38.0,35.0,13524.194160681538
Test_133,-21.0,37.0,11125.194834988437
Test_134,-56.0,37.0,14193.874060043818
Test_135,39.0,-76.0,13756.026426059687
Test_136,8.0,-68.0,11167.41723209391
Test_137,68.0,53.0,12231.597046320188
Test_138,-28.0,-75.0,12835.840395724259
Test_139,-52.0,-36.0,13987.66221206853
Test_140,1.0,-3.0,5336.378200562848
Test_141,79.0,49.0,11669.941158209334
Test_142,56.0,10.0,11057.284521878328
Test_143,39.0,-35.0,13768.17091549666
Test_144,-86.0,-39.0,13114.99982653125
Test_145,29.0,32.0,11925.306373415293
Test_146,-41.0,-28.0,12235.014021195593
Test_147,47.0,23.0,11870.630413473662
Test_148,46.0,-62.0,15171.18585653323
Test_149,24.0,-59.0,12736.192085814266
Test_150,15.0,-47.0,11301.962935405369
Test_151,-66.0,-82.0,7657.110642496896
Test_152,-23.0,-66.0,12504.18095740406
Test_153,50.0,-62.0,15198.12814721019
Test_154,-65.0,-65.0,10601.52948278114
Test_155,11.0,-32.0,9328.551407157816
Test_156,70.0,-86.0,6709.442396582167
Test_157,78.0,-26.0,12360.930169663332
Test_158,17.0,-43.0,11195.528278512962
Test_159,-9.0,-4.0,5888.015972656845
Test_160,47.0,-13.0,10803.539012974974
Test_161,-43.0,-45.0,15337.246078321803
Test_162,-71.0,-11.0,11113.006465043047
Test_163,-84.0,28.0,12364.923383324118
Test_164,-16.0,-5.0,6521.186784311064
Test_165,-5.0,10.0,6051.18210963546
Test_166,-61.0,-3.0,10869.252277243508
Test_167,-4.0,-6.0,5495.514215347328
Test_168,-5.0,-1.0,5550.00647336841
Test_284,16.0,16.0,7584.468142218874
Test_285,-21.0,55.0,12319.777214726577
Test_286,40.0,-87.0,13286.501655400361
Test_287,-77.0,22.0,11921.238935693227
Test_288,37.0,70.0,13822.346919742538
Test_169,58.0,-70.0,11089.854048432642
Test_170,-35.0,-50.0,14041.714599119123
Test_171,-6.0,-18.0,6918.812872182284
Test_172,-68.0,5.0,10878.21991882162
Test_173,82.0,-55.0,9916.311425465903
Test_174,-76.0,51.0,11675.599801847862
Test_175,-73.0,85.0,6279.730182364723
Test_176,-36.0,30.0,12444.808166670926
Test_177,25.0,-81.0,12394.631792872136
Test_178,27.0,63.0,13026.881334859123
Test_179,73.0,-44.0,14155.153425561823
Test_180,-14.0,88.0,11143.45572070752
Test_181,88.0,45.0,12028.862326207318
Test_182,-14.0,42.0,10721.406400428705
Test_183,37.0,63.0,14087.1679498467
Test_184,83.0,43.0,12857.640454450102
Test_185,-18.0,49.0,11678.803256514215
Test_186,-54.0,1.0,10634.332542999335
Test_187,-47.0,-37.0,14234.18932796993
Test_188,-40.0,56.0,14816.44265431159
Test_189,34.0,0.0,8785.322465217181
Test_190,-80.0,40.0,13454.726516297245
Test_191,-75.0,6.0,10699.745213661929
Test_192,89.0,-86.0,4727.611337470539
Test_193,48.0,41.0,15042.795259467091
Test_194,-11.0,-16.0,7003.270169635478
Test_195,12.0,71.0,11355.84105293195
Test_196,-32.0,84.0,13015.594555421983
Test_197,-80.0,-38.0,13256.69416923945
Test_198,-82.0,-53.0,10321.318206908589
Test_199,-45.0,82.0,12536.589045984576
Test_200,88.0,-42.0,12793.547565644378
Test_201,-73.0,-27.0,12578.588474630064
Test_202,-24.0,-76.0,12342.99038201556
Test_203,33.0,58.0,13756.381538078276
Test_204,27.0,-22.0,9969.226432687197
Test_205,-58.0,-50.0,15048.625283005353
Test_206,4.0,90.0,10496.01309828846
Test_207,19.0,-83.0,11680.876148745074
Test_208,-87.0,47.0,11540.72166101444
Test_209,58.0,-69.0,11280.662528473138
Test_210,-10.0,23.0,8178.005473965131
Test_211,55.0,-59.0,13101.047307136922
Test_212,-63.0,54.0,13168.186314740482
Test_213,67.0,-42.0,14349.194576660755
Test_214,63.0,-14.0,11489.053493273066
Test_215,9.0,13.0,6596.664947318732
Test_216,-10.0,59.0,11351.913305420387
Test_217,21.0,56.0,12285.285922657797
Test_218,5.0,-15.0,6402.338518870277
Test_219,-7.0,65.0,11269.497889049511
Test_220,14.0,-23.0,8598.661692875621
Test_221,74.0,-56.0,10754.584871411074
Test_222,7.0,-80.0,10811.011970460435
Test_223,-78.0,-48.0,12099.866324696342
Test_224,-4.0,-43.0,10124.665417659175
Test_225,2.0,-73.0,10813.100104919038
Test_226,-42.0,80.0,13493.58094813279
Test_227,-42.0,-6.0,9854.39559883905
Test_228,60.0,-31.0,13372.95317114232
Test_229,42.0,86.0,12950.153914596058
Test_230,-44.0,-30.0,12779.102566950893
Test_231,-69.0,24.0,12392.97814555025
Test_232,-8.0,-27.0,8372.758234980764
Test_233,61.0,-20.0,12060.174988988689
Test_234,-49.0,-40.0,14785.557390655087
Test_235,-62.0,7.0,10961.115664400775
Test_236,16.0,-57.0,11894.05656259624
Test_237,-32.0,66.0,13543.384662100048
Test_238,64.0,-22.0,12288.621555306829
Test_239,30.0,17.0,9409.548845065034
Test_240,53.0,26.0,12567.465399762588
Test_241,13.0,6.0,6291.0659575447235
Test_242,-31.0,60.0,13595.879437988264
Test_243,-63.0,-63.0,11456.656326867322
Test_244,85.0,-58.0,9005.94536526673
Test_245,-34.0,-14.0,9607.426517322821
Test_246,60.0,61.0,12014.822847686357
Test_247,-83.0,78.0,5671.5802810053065
Test_248,6.0,27.0,8401.31245915125
Test_249,6.0,16.0,6711.898974171598
Test_250,-47.0,64.0,15088.29116768949
Test_251,-69.0,0.0,10660.558724270517
Test_252,-82.0,-45.0,12432.538549194509
Test_253,56.0,-34.0,13802.658934604753
Test_254,-75.0,-17.0,11476.98705532308
Test_255,32.0,-60.0,13692.175990901635
Test_256,-25.0,-11.0,8159.479331204627
Test_257,65.0,80.0,8038.226317324608
Test_258,54.0,-18.0,11724.494303643789
Test_259,-6.0,38.0,9611.684275069634
Test_260,-50.0,68.0,13130.126566547491
Test_261,-14.0,-28.0,9055.427583237886
Test_262,-57.0,76.0,10264.276582206208
Test_263,-24.0,2.0,7431.861060887183
Test_264,87.0,-65.0,7492.790068050714
Test_265,-25.0,-84.0,12376.826335261103
Test_266,-26.0,-39.0,11905.52310015404
Test_267,-33.0,-46.0,13596.199421099062
Test_268,-59.0,29.0,13127.748863852921
Test_269,-60.0,60.0,12345.171281891351
Test_270,10.0,76.0,11094.55379392659
Test_271,-30.0,50.0,13357.761495457045
Test_272,72.0,69.0,8413.199215094779
Test_273,81.0,62.0,8443.661153581184
Test_274,30.0,-25.0,10883.282445363739
Test_275,80.0,-20.0,11619.912625809431
Test_276,-88.0,70.0,6554.1002610797605
Test_277,57.0,88.0,9132.300369806604
Test_278,18.0,78.0,11765.6796793732
Test_279,-88.0,-89.0,4669.213388196108
Test_280,-31.0,-12.0,8995.625283638123
Test_281,-72.0,-17.0,11518.463645645434
Test_282,25.0,-74.0,12568.61099322553
Test_283,34.0,-21.0,10585.02097744803
Test_290,20.0,-82.0,11915.025241390034
Test_291,26.0,5.0,7910.81357341543
Test_292,71.0,-88.0,6457.24419010865
Test_293,-28.0,11.0,8560.079276746874
Test_294,-71.0,-57.0,10916.589575790496
Test_295,-84.0,-9.0,10569.000796135027
Test_296,-48.0,82.0,11697.227070216075
Test_297,-13.0,-4.0,6127.6178934723275
Test_298,-19.0,-23.0,9154.106984992435
Test_299,5.0,-32.0,8927.666539291258
Test_300,51.0,46.0,15620.037339219421
Test_289,-9.0,44.0,10515.855024102199
