File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.441e+01
Avg = 9.468e+00
SD = 6.535e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.441e+00,1.220e+00,168910,1.779e+01
2,2.441e+00,4.882e+00,3.661e+00,157609,1.726e+01
3,4.882e+00,7.323e+00,6.102e+00,109711,1.185e+01
4,7.323e+00,9.764e+00,8.543e+00,56052,5.774e+00
5,9.764e+00,1.220e+01,1.098e+01,83114,8.851e+00
6,1.220e+01,1.465e+01,1.343e+01,95028,1.045e+01
7,1.465e+01,1.709e+01,1.587e+01,92587,1.009e+01
8,1.709e+01,1.953e+01,1.831e+01,111472,1.195e+01
9,1.953e+01,2.197e+01,2.075e+01,79912,5.633e+00
10,2.197e+01,2.441e+01,2.319e+01,10465,3.515e-01
