File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.225e+01
Avg = 1.229e+01
SD = 8.678e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.225e+00,1.612e+00,242314,2.187e+01
2,3.225e+00,6.450e+00,4.837e+00,135059,1.245e+01
3,6.450e+00,9.675e+00,8.062e+00,114726,1.053e+01
4,9.675e+00,1.290e+01,1.129e+01,85264,7.736e+00
5,1.290e+01,1.612e+01,1.451e+01,98398,8.931e+00
6,1.612e+01,1.935e+01,1.774e+01,118718,1.095e+01
7,1.935e+01,2.257e+01,2.096e+01,123255,1.129e+01
8,2.257e+01,2.580e+01,2.419e+01,126304,1.144e+01
9,2.580e+01,2.902e+01,2.741e+01,44667,3.863e+00
10,2.902e+01,3.225e+01,3.064e+01,31907,9.407e-01
