File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.720e+01
Avg = 1.413e+01
SD = 9.892e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.720e+00,1.860e+00,233282,2.103e+01
2,3.720e+00,7.440e+00,5.580e+00,136246,1.255e+01
3,7.440e+00,1.116e+01,9.300e+00,122396,1.124e+01
4,1.116e+01,1.488e+01,1.302e+01,88967,8.073e+00
5,1.488e+01,1.860e+01,1.674e+01,104108,9.449e+00
6,1.860e+01,2.232e+01,2.046e+01,122352,1.128e+01
7,2.232e+01,2.604e+01,2.418e+01,121537,1.111e+01
8,2.604e+01,2.976e+01,2.790e+01,112076,1.019e+01
9,2.976e+01,3.348e+01,3.162e+01,47935,4.151e+00
10,3.348e+01,3.720e+01,3.534e+01,31713,9.270e-01
