File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.274e+01
Avg = 1.742e+01
SD = 1.176e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.274e+00,2.137e+00,213452,1.918e+01
2,4.274e+00,8.547e+00,6.410e+00,127512,1.177e+01
3,8.547e+00,1.282e+01,1.068e+01,120966,1.113e+01
4,1.282e+01,1.709e+01,1.496e+01,87292,7.930e+00
5,1.709e+01,2.137e+01,1.923e+01,87286,7.920e+00
6,2.137e+01,2.564e+01,2.350e+01,117112,1.076e+01
7,2.564e+01,2.992e+01,2.778e+01,122684,1.125e+01
8,2.992e+01,3.419e+01,3.205e+01,142708,1.297e+01
9,3.419e+01,3.846e+01,3.633e+01,63217,5.705e+00
10,3.846e+01,4.274e+01,4.060e+01,38383,1.370e+00
