File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.676e+01
Avg = 1.477e+01
SD = 1.023e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.676e+00,1.838e+00,226302,2.037e+01
2,3.676e+00,7.352e+00,5.514e+00,125455,1.157e+01
3,7.352e+00,1.103e+01,9.190e+00,117486,1.081e+01
4,1.103e+01,1.470e+01,1.287e+01,84600,7.684e+00
5,1.470e+01,1.838e+01,1.654e+01,86703,7.874e+00
6,1.838e+01,2.206e+01,2.022e+01,116074,1.067e+01
7,2.206e+01,2.573e+01,2.389e+01,122938,1.126e+01
8,2.573e+01,2.941e+01,2.757e+01,140636,1.279e+01
9,2.941e+01,3.308e+01,3.125e+01,62083,5.600e+00
10,3.308e+01,3.676e+01,3.492e+01,38335,1.367e+00
