File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.728e+01
Avg = 1.384e+01
SD = 9.951e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.728e+00,1.864e+00,248362,2.243e+01
2,3.728e+00,7.457e+00,5.592e+00,152416,1.407e+01
3,7.457e+00,1.118e+01,9.321e+00,108425,9.896e+00
4,1.118e+01,1.491e+01,1.305e+01,84007,7.616e+00
5,1.491e+01,1.864e+01,1.678e+01,101784,9.279e+00
6,1.864e+01,2.237e+01,2.051e+01,114411,1.054e+01
7,2.237e+01,2.610e+01,2.423e+01,122655,1.122e+01
8,2.610e+01,2.983e+01,2.796e+01,115522,1.046e+01
9,2.983e+01,3.355e+01,3.169e+01,41472,3.548e+00
10,3.355e+01,3.728e+01,3.542e+01,31558,9.381e-01
