File= Filling_Pressure.csv
Min = 0.000e+00
Max = 1.389e+01
Avg = 4.866e+00
SD = 2.719e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,1.389e+00,6.946e-01,374854,7.931e+00
2,1.389e+00,2.779e+00,2.084e+00,967737,2.207e+01
3,2.779e+00,4.168e+00,3.473e+00,686580,1.553e+01
4,4.168e+00,5.557e+00,4.863e+00,533403,1.198e+01
5,5.557e+00,6.946e+00,6.252e+00,662091,1.490e+01
6,6.946e+00,8.336e+00,7.641e+00,750798,1.706e+01
7,8.336e+00,9.725e+00,9.030e+00,308275,7.094e+00
8,9.725e+00,1.111e+01,1.042e+01,133742,2.754e+00
9,1.111e+01,1.250e+01,1.181e+01,38385,4.333e-01
10,1.250e+01,1.389e+01,1.320e+01,4032,2.477e-01
