File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.265e+01
Avg = 1.213e+01
SD = 8.759e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.265e+00,1.632e+00,212358,2.297e+01
2,3.265e+00,6.529e+00,4.897e+00,123922,1.401e+01
3,6.529e+00,9.794e+00,8.162e+00,80843,8.937e+00
4,9.794e+00,1.306e+01,1.143e+01,65039,7.157e+00
5,1.306e+01,1.632e+01,1.469e+01,73548,8.110e+00
6,1.632e+01,1.959e+01,1.796e+01,108390,1.208e+01
7,1.959e+01,2.285e+01,2.122e+01,124868,1.390e+01
8,2.285e+01,2.612e+01,2.449e+01,77306,8.474e+00
9,2.612e+01,2.938e+01,2.775e+01,42039,3.559e+00
10,2.938e+01,3.265e+01,3.101e+01,23671,7.935e-01
