case,test_id,theta1,theta2,pt,predicted_type,confidence,type1_probability,type2_probability,type3_probability,review_priority,csv_path,plot_path
Case3,Test_011,-39.0,-9.0,6767.43965099748,3,0.585,0.043333333333333335,0.37166666666666665,0.585,high,data/New_Data/csv_6x8_Case3/force_disp_Test_011.csv,data/New_Data/6x8_Case3/Original/plot_Test_011_original.png
Case3,Test_030,15.0,-12.0,5244.46613065066,3,0.88,0.01,0.11,0.88,low,data/New_Data/csv_6x8_Case3/force_disp_Test_030.csv,data/New_Data/6x8_Case3/Original/plot_Test_030_original.png
Case3,Test_032,-19.0,-7.0,5181.719601493141,3,0.8633333333333333,0.008333333333333333,0.12833333333333333,0.8633333333333333,low,data/New_Data/csv_6x8_Case3/force_disp_Test_032.csv,data/New_Data/6x8_Case3/Original/plot_Test_032_original.png
Case3,Test_036,8.0,25.0,5722.520737528544,3,0.8483333333333334,0.015,0.13666666666666666,0.8483333333333334,medium,data/New_Data/csv_6x8_Case3/force_disp_Test_036.csv,data/New_Data/6x8_Case3/Original/plot_Test_036_original.png
Case3,Test_045,-18.0,-35.0,7104.411917835755,3,0.5716666666666667,0.06333333333333334,0.365,0.5716666666666667,high,data/New_Data/csv_6x8_Case3/force_disp_Test_045.csv,data/New_Data/6x8_Case3/Original/plot_Test_045_original.png
Case3,Test_059,14.0,3.0,4721.089115915396,3,0.8816666666666667,0.01,0.10833333333333334,0.8816666666666667,low,data/New_Data/csv_6x8_Case3/force_disp_Test_059.csv,data/New_Data/6x8_Case3/Original/plot_Test_059_original.png
Case3,Test_068,-26.0,-1.0,5677.412801135068,3,0.8483333333333334,0.011666666666666667,0.14,0.8483333333333334,medium,data/New_Data/csv_6x8_Case3/force_disp_Test_068.csv,data/New_Data/6x8_Case3/Original/plot_Test_068_original.png
Case3,Test_072,-29.0,13.0,6421.020342466547,3,0.81,0.023333333333333334,0.16666666666666666,0.81,medium,data/New_Data/csv_6x8_Case3/force_disp_Test_072.csv,data/New_Data/6x8_Case3/Original/plot_Test_072_original.png
Case3,Test_074,-1.0,-8.0,4458.615577910378,3,0.89,0.008333333333333333,0.10166666666666667,0.89,low,data/New_Data/csv_6x8_Case3/force_disp_Test_074.csv,data/New_Data/6x8_Case3/Original/plot_Test_074_original.png
Case3,Test_088,23.0,33.0,7564.757786761533,3,0.47833333333333333,0.09166666666666666,0.43,0.47833333333333333,high,data/New_Data/csv_6x8_Case3/force_disp_Test_088.csv,data/New_Data/6x8_Case3/Original/plot_Test_088_original.png
Case3,Test_089,18.0,-35.0,7100.982621180198,3,0.5416666666666666,0.06666666666666667,0.39166666666666666,0.5416666666666666,high,data/New_Data/csv_6x8_Case3/force_disp_Test_089.csv,data/New_Data/6x8_Case3/Original/plot_Test_089_original.png
Case3,Test_091,11.0,36.0,6627.652973903583,3,0.68,0.03833333333333333,0.2816666666666667,0.68,high,data/New_Data/csv_6x8_Case3/force_disp_Test_091.csv,data/New_Data/6x8_Case3/Original/plot_Test_091_original.png
Case3,Test_098,-1.0,36.0,6410.375303854675,3,0.765,0.028333333333333332,0.20666666666666667,0.765,medium,data/New_Data/csv_6x8_Case3/force_disp_Test_098.csv,data/New_Data/6x8_Case3/Original/plot_Test_098_original.png
