File = source:G15_P01-10_SPRUE_PRESSURE.csv

Title,Packing-Sprue Pressure

Time (sec),Run 1 : G15_P01 (MPa)
0.00292513,0.000109756
0.00711219,0.0030961
0.0111684,0.00636252
0.0150918,0.0809097
0.0190118,0.545234
0.0229486,1.03883
0.0245114,1.0667
0.0259556,1.04029
0.0273873,1.07653
0.0288926,1.1047
0.0304188,1.12053
0.0321495,1.17054
0.034239,1.21984
0.0366288,1.2742
0.0393906,1.34086
0.0426678,1.4116
0.0464301,1.48661
0.0509111,1.55883
0.0554041,1.6264
0.0606784,1.7007
0.0659512,1.76931
0.0722372,1.84617
0.0786674,1.92382
0.0859731,2.00007
0.0933603,2.07555
0.102021,2.15278
0.11061,2.22693
0.119342,2.30036
0.128185,2.36839
0.138432,2.44263
0.148668,2.51911
0.159109,2.5904
0.169656,2.66024
0.181679,2.7367
0.194034,2.81934
0.206198,2.89073
0.218605,2.96604
0.233073,3.04913
0.247508,3.13212
0.261834,3.21385
0.27649,3.29799
0.291358,3.38696
0.306255,3.48368
0.323091,3.60398
0.340032,3.74825
0.356983,3.8993
0.374148,4.0541
0.391371,4.20987
0.408885,4.36998
0.428717,4.53226
0.448828,4.71535
0.469023,4.88792
0.489259,5.05598
0.509879,5.22248
0.53048,5.38581
0.551086,5.5431
0.571849,5.69176
0.59172,5.87912
0.609267,6.08895
0.627248,6.23968
0.644891,6.40876
0.662365,6.57552
0.679982,6.74471
0.697261,6.91072
0.714703,7.07355
0.732273,7.23776
0.749628,7.40246
0.767336,7.57166
0.784401,7.73337
0.801767,7.88994
0.818972,8.05256
0.835996,8.21271
0.853088,8.37129
0.870155,8.5333
0.887223,8.69607
0.904476,8.8599
0.92163,9.02421
0.9389,9.19326
0.956151,9.35974
0.973287,9.52846
0.990661,9.69794
1.00788,9.87247
1.02456,10.0596
1.03985,10.2554
1.0548,10.4369
1.06994,10.6362
1.08437,10.8377
1.09858,11.0351
1.1111,11.2246
1.12348,11.3954
1.13589,11.5799
1.14814,11.7661
1.16026,11.9567
1.1726,12.1515
1.18457,12.3512
1.19518,12.5353
1.2058,12.7022
1.21629,12.8835
1.22671,13.0636
1.23721,13.2501
1.24772,13.4359
1.25823,13.6211
1.26872,13.8135
1.27926,14.0061
1.28954,14.1976
1.30006,14.3957
1.31056,14.5947
1.32102,14.7981
1.3317,14.9999
1.34243,15.206
1.35325,15.4133
1.36418,15.6252
1.3752,15.8398
1.3862,16.0549
1.39737,16.2737
1.40873,16.4948
1.42027,16.7164
1.43195,16.9478
1.44347,17.1803
1.45528,17.406
1.46735,17.6443
1.47952,17.8864
1.49154,18.1271
1.50391,18.3625
1.51621,18.6081
1.52854,18.8445
1.54126,19.0866
1.55365,19.3327
1.56658,19.5672
1.57922,19.8125
1.59232,20.0475
1.6069,20.3
1.62191,20.5744
1.6371,20.8456
1.65206,21.1121
1.66742,21.3665
1.6827,21.6291
1.6983,21.8799
1.71381,22.1339
1.72949,22.3803
1.74704,22.6349
1.76451,22.915
1.7814,23.1911
1.79798,23.4489
1.81478,23.7075
1.83139,23.9669
1.84802,24.222
1.86459,24.4749
1.88135,24.7277
1.89786,24.978
1.91458,25.2261
1.93107,25.4747
1.94752,25.7166
1.96412,25.9639
1.98018,26.204
1.99674,26.4474
2.01319,26.6911
2.02987,26.9397
2.0463,27.188
2.06272,27.4329
2.07939,27.6872
2.09573,27.9395
2.1123,28.1909
2.12886,28.4484
2.14532,28.7063
2.16168,28.9636
2.17801,29.2202
2.19458,29.4808
2.2108,29.7451
2.22748,30.0075
2.24376,30.2785
2.26035,30.5439
2.27689,30.8203
2.29374,31.0983
2.31024,31.381
2.32681,31.658
2.34354,31.9447
2.36061,32.2373
2.37764,32.535
2.39472,32.8357
2.41165,33.138
2.42739,33.4377
2.42995,33.694
2.44411,38.694
2.46056,43.6792
2.47272,46.7566
2.47272,46.7566
2.48302,49.0477
2.49363,51.1644
2.50455,53.1134
2.51581,54.9014
2.5274,56.5358
2.53934,58.0241
2.55164,59.374
2.56431,60.5934
2.57736,61.6903
2.5908,62.6726
2.60464,63.5485
2.6189,64.3258
2.63358,65.0122
2.64871,65.6154
2.66429,66.1427
2.68033,66.6012
2.69686,66.9977
2.71389,67.3386
2.73142,67.6299
2.74948,67.8774
2.76809,68.0862
2.78725,68.2613
2.80698,68.4071
2.82731,68.5276
2.84825,68.6265
2.86981,68.7071
2.89203,68.7721
2.91491,68.8243
2.94122,68.8705
2.97147,68.9097
3.00627,68.9411
3.04629,68.9647
3.09231,68.9809
3.14523,68.991
3.20344,68.9962
3.26747,68.9987
3.33791,68.9996
3.41539,68.9999
3.50062,69
3.59438,69
3.69751,69
3.81095,69
3.93573,69
4.073,69
4.22399,69
4.39008,69
4.57277,69
4.77374,69
4.97672,69
5.18173,69
5.38878,69
5.59791,69
5.80913,69
6.02246,69
6.23793,69
6.45555,69
6.67534,69
6.89734,69
7.12155,69
7.16095,69
7.17545,59
7.19211,49.1667
7.21128,39.7431
7.23332,30.983
7.25867,23.1295
7.28782,16.3872
7.32134,10.8938
7.35989,6.69412
7.40422,3.72637
7.45521,1.82653
7.51129,0.802173
7.57298,0.30731
7.64084,0.0987716
7.71549,0.0250433
7.7976,0.0044803
8.02405,1e-06
8.25277,1e-06
8.48378,1e-06
8.7171,1e-06
8.95275,1e-06
9.19075,1e-06
9.43114,1e-06
9.67393,1e-06
9.91915,1e-06
10.1668,1e-06
10.417,1e-06
10.6696,1e-06
10.9248,1e-06
11.1825,1e-06
11.4428,1e-06
11.7057,1e-06
11.9713,1e-06
12.2395,1e-06
12.5103,1e-06
12.7839,1e-06
13.0603,1e-06
13.3393,1e-06
13.6212,1e-06
13.9059,1e-06
14.1934,1e-06
14.4838,1e-06
14.7772,1e-06
15.0734,1e-06
15.3726,1e-06
15.6748,1e-06
15.9801,1e-06
16.2883,1e-06
16.5997,1e-06
16.9142,1e-06
17.2318,1e-06
17.5526,1e-06
17.8766,1e-06
18.2039,1e-06
18.5344,1e-06
18.8682,1e-06
