File = D:\Moldex3D\02. AI\Surrogate model - 2 Report\V02\v02FAM_G04\P01\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,
Time (sec),Run 16 : V02FAM_G04_P01 (MPa),
0.00165086,0.00047106,
0.00398574,0.000106461,
0.006431,8.6482e-05,
0.00875793,0.0171412,
0.0117924,0.0578933,
0.0147585,0.618714,
0.0175286,1.07972,
0.0189085,1.21395,
0.0199091,1.19054,
0.0209088,1.22718,
0.0219354,1.26778,
0.0229649,1.31433,
0.0239946,1.37378,
0.0250385,1.42761,
0.0262754,1.48595,
0.0275076,1.54033,
0.0289733,1.60059,
0.0304447,1.65485,
0.032177,1.7156,
0.0339279,1.75842,
0.035669,1.81301,
0.037691,1.87077,
0.0397026,1.92654,
0.0417219,1.97853,
0.0440917,2.03464,
0.0464567,2.08917,
0.0488487,2.14021,
0.0512401,2.18748,
0.0540536,2.24103,
0.0568636,2.29422,
0.0596851,2.34284,
0.0625338,2.39153,
0.0654024,2.43755,
0.068748,2.48976,
0.0720927,2.54204,
0.0754424,2.59068,
0.0788449,2.64031,
0.0822364,2.68629,
0.0862131,2.73988,
0.0901908,2.79407,
0.0941772,2.84388,
0.0982114,2.89388,
0.102258,2.94157,
0.106323,2.98845,
0.111042,3.0421,
0.115752,3.09692,
0.120485,3.14941,
0.125285,3.20238,
0.130067,3.25272,
0.134866,3.30228,
0.139736,3.3527,
0.144589,3.40097,
0.150249,3.45656,
0.155896,3.51446,
0.161541,3.56828,
0.16721,3.62308,
0.172881,3.67758,
0.178547,3.73118,
0.184277,3.78518,
0.190012,3.83858,
0.195548,3.89579,
0.200596,4.00204,
0.205686,4.11362,
0.210907,4.17845,
0.216096,4.26274,
0.221271,4.34868,
0.226422,4.42875,
0.231635,4.51543,
0.2368,4.60387,
0.241944,4.7029,
0.24708,4.80741,
0.252203,4.91522,
0.257338,5.02698,
0.262484,5.13968,
0.267633,5.25439,
0.272778,5.37217,
0.277931,5.48931,
0.283078,5.6093,
0.288218,5.72644,
0.293502,5.85041,
0.298704,5.97464,
0.303876,6.09731,
0.309041,6.2197,
0.314214,6.34289,
0.319401,6.46646,
0.324601,6.59032,
0.329803,6.71015,
0.33511,6.83583,
0.340322,6.96384,
0.345518,7.08506,
0.350853,7.21429,
0.355982,7.34408,
0.361106,7.47633,
0.366076,7.5826,
0.371384,7.71635,
0.37639,7.8319,
0.381581,7.96146,
0.386555,8.07717,
0.391633,8.20472,
0.396581,8.3171,
0.401664,8.44445,
0.406645,8.56804,
0.411609,8.68792,
0.416556,8.80822,
0.421508,8.92748,
0.426482,9.03684,
0.431578,9.16607,
0.436548,9.29291,
0.441516,9.41437,
0.446486,9.53712,
0.451432,9.65855,
0.456349,9.76932,
0.461425,9.88675,
0.466632,10.0262,
0.471637,10.1586,
0.476601,10.2844,
0.481545,10.4096,
0.486475,10.5331,
0.491441,10.6573,
0.496448,10.7675,
0.501717,10.8933,
0.506959,11.0419,
0.511944,11.1778,
0.516913,11.3044,
0.521917,11.4328,
0.526905,11.563,
0.531891,11.6923,
0.536854,11.8231,
0.541818,11.9512,
0.546788,12.0808,
0.551796,12.2102,
0.556776,12.3415,
0.561726,12.4724,
0.566637,12.6008,
0.57151,12.7114,
0.576632,12.8505,
0.581375,12.9771,
0.585827,13.1585,
0.590156,13.3127,
0.594426,13.4759,
0.598607,13.6384,
0.602242,13.7838,
0.605839,13.9148,
0.609424,14.0574,
0.613014,14.1979,
0.616601,14.3427,
0.620198,14.4896,
0.623297,14.6232,
0.62632,14.74,
0.629354,14.8642,
0.632393,14.991,
0.635408,15.1176,
0.638432,15.2453,
0.641538,15.3735,
0.644669,15.5055,
0.647797,15.6376,
0.650938,15.7709,
0.654079,15.9014,
0.657198,16.0364,
0.660383,16.1674,
0.663498,16.301,
0.66659,16.4335,
0.669795,16.5606,
0.672951,16.6935,
0.676099,16.8241,
