File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.981e+01
Avg = 1.194e+01
SD = 8.325e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.981e+00,1.491e+00,101992,2.105e+01
2,2.981e+00,5.962e+00,4.472e+00,58602,1.288e+01
3,5.962e+00,8.944e+00,7.453e+00,45571,9.667e+00
4,8.944e+00,1.192e+01,1.043e+01,32812,6.867e+00
5,1.192e+01,1.491e+01,1.342e+01,33553,7.039e+00
6,1.491e+01,1.789e+01,1.640e+01,49090,1.047e+01
7,1.789e+01,2.087e+01,1.938e+01,58088,1.257e+01
8,2.087e+01,2.385e+01,2.236e+01,61974,1.300e+01
9,2.385e+01,2.683e+01,2.534e+01,40920,5.221e+00
10,2.683e+01,2.981e+01,2.832e+01,20482,1.242e+00
