File= Filling_Pressure.csv
Min = 0.000e+00
Max = 1.718e+01
Avg = 6.437e+00
SD = 3.366e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,1.718e+00,8.588e-01,256926,5.485e+00
2,1.718e+00,3.435e+00,2.576e+00,837296,1.936e+01
3,3.435e+00,5.153e+00,4.294e+00,731903,1.733e+01
4,5.153e+00,6.870e+00,6.012e+00,515961,1.197e+01
5,6.870e+00,8.588e+00,7.729e+00,572280,1.344e+01
6,8.588e+00,1.031e+01,9.447e+00,826690,1.915e+01
7,1.031e+01,1.202e+01,1.116e+01,373332,8.817e+00
8,1.202e+01,1.374e+01,1.288e+01,156374,3.517e+00
9,1.374e+01,1.546e+01,1.460e+01,55015,6.897e-01
10,1.546e+01,1.718e+01,1.632e+01,4032,2.442e-01
