File = source:G20_P01-10_SPRUE_PRESSURE.csv

Title,Packing-Sprue Pressure

Time (sec),Run 1 : G20_P01 (MPa)
0.00247563,4.52209e-06
0.00645274,0.00497631
0.0100601,0.000131258
0.0134314,0.366618
0.0159365,0.65556
0.0182158,1.32049
0.0196171,1.22306
0.021138,1.17732
0.0226544,1.18562
0.0241069,1.19662
0.025536,1.21697
0.0272404,1.23245
0.0292566,1.26229
0.03164,1.29468
0.0344737,1.33313
0.0377051,1.37799
0.0416535,1.42091
0.0463343,1.46304
0.0517825,1.50918
0.0573679,1.55058
0.0638984,1.59287
0.0703386,1.63279
0.0779499,1.67759
0.086797,1.72765
0.0956254,1.77338
0.105913,1.82113
0.116342,1.86695
0.126842,1.90581
0.139095,1.95
0.151297,1.99092
0.163719,2.03102
0.178182,2.07194
0.192711,2.11375
0.207408,2.15275
0.22225,2.191
0.239617,2.23341
0.256757,2.27383
0.274128,2.31403
0.291548,2.35181
0.309397,2.39033
0.329822,2.43079
0.350469,2.47347
0.371768,2.51411
0.392781,2.55299
0.413977,2.59235
0.43836,2.63364
0.46264,2.67663
0.487238,2.71907
0.512045,2.76053
0.537048,2.80134
0.562105,2.84261
0.587333,2.89563
0.616603,2.9664
0.645775,3.05402
0.675023,3.14414
0.704362,3.23673
0.733786,3.32936
0.763009,3.42302
0.790768,3.51935
0.815948,3.65394
0.841007,3.74823
0.866308,3.84918
0.891398,3.94869
0.915936,4.0487
0.939264,4.15369
0.962151,4.25505
0.98494,4.35541
1.00773,4.45706
1.03048,4.55859
1.05305,4.65994
1.07575,4.76374
1.0983,4.86685
1.12087,4.97027
1.14334,5.07576
1.16583,5.18219
1.18539,5.28218
1.2048,5.37159
1.22426,5.46656
1.24393,5.56174
1.26342,5.65752
1.28293,5.75534
1.30251,5.85122
1.32212,5.94917
1.34188,6.04776
1.36182,6.14719
1.38175,6.24549
1.4019,6.34552
1.42213,6.44749
1.44249,6.54737
1.46313,6.64955
1.48392,6.75311
1.50494,6.87083
1.52517,6.96138
1.54644,7.06228
1.56807,7.1681
1.59001,7.27593
1.61196,7.38418
1.63413,7.49282
1.65648,7.60215
1.67905,7.71197
1.70181,7.82362
1.72466,7.93928
1.74709,8.04756
1.76986,8.16083
1.7919,8.27215
1.81351,8.38267
1.83573,8.49164
1.85804,8.60728
1.88034,8.72363
1.90263,8.83942
1.92472,8.95491
1.94688,9.0689
1.96917,9.18293
1.99141,9.29845
2.01376,9.4119
2.03591,9.52557
2.05829,9.6384
2.08075,9.75091
2.10307,9.86383
2.12523,9.9751
2.14747,10.0845
2.16986,10.1955
2.19217,10.3201
2.21352,10.4154
2.23561,10.519
2.25803,10.627
2.28025,10.7371
2.30247,10.8477
2.32428,10.9538
2.34634,11.059
2.36865,11.1659
2.39093,11.2755
2.413,11.3847
2.43004,11.4863
2.43874,16.486
2.44826,21.486
2.45784,26.0402
2.45784,26.0402
2.46521,29.2072
2.47281,32.2287
2.48063,35.1045
2.48868,37.835
2.49698,40.4208
2.50553,42.8632
2.51433,45.1638
2.5234,47.3249
2.53274,49.3491
2.54235,51.2392
2.55226,52.9988
2.56246,54.6317
2.57298,56.1419
2.5838,57.5339
2.59495,58.8124
2.60644,59.9825
2.61827,61.0492
2.63045,62.018
2.643,62.8943
2.65593,63.6835
2.66924,64.3914
2.68296,65.0234
2.69708,65.5851
2.71163,66.0819
2.72662,66.5192
2.74205,66.9021
2.75795,67.2357
2.77433,67.5246
2.79119,67.7734
2.80856,67.9865
2.82646,68.1679
2.84489,68.3212
2.86387,68.4501
2.88342,68.5576
2.90356,68.6467
2.92672,68.7285
2.95336,68.8008
2.98399,68.8618
3.01921,68.9105
3.05972,68.9468
3.1063,68.9716
3.15987,68.9868
3.2188,68.9946
3.28362,68.9981
3.35493,68.9995
3.43336,68.9999
3.51964,69
3.61454,69
3.71894,69
3.83377,69
3.96009,69
4.09904,69
4.25188,69
4.42001,69
4.60495,69
4.80839,69
5.01386,69
5.22138,69
5.43098,69
5.64268,69
5.85649,69
6.07244,69
6.29056,69
6.51085,69
6.73334,69
6.95806,69
7.16104,69
7.19075,59
7.20771,49
7.2272,39.4492
7.24961,30.6065
7.27539,22.7169
7.30503,15.9827
7.33912,10.5341
7.37833,6.40424
7.42341,3.51688
7.47526,1.69345
7.53229,0.727633
7.59503,0.271146
7.66404,0.0840295
7.73995,0.0202423
7.82345,0.00333969
7.9153,0.000272131
8.01634,1e-06
8.12748,1e-06
8.24973,1e-06
8.4767,1e-06
8.70594,1e-06
8.93747,1e-06
9.17131,1e-06
9.40749,1e-06
9.64604,1e-06
9.88697,1e-06
10.1303,1e-06
10.3761,1e-06
10.6243,1e-06
10.875,1e-06
11.1283,1e-06
11.384,1e-06
11.6423,1e-06
11.9032,1e-06
12.1667,1e-06
12.4328,1e-06
12.7016,1e-06
12.9731,1e-06
13.2473,1e-06
13.5243,1e-06
13.804,1e-06
14.0865,1e-06
14.3718,1e-06
14.66,1e-06
14.9511,1e-06
15.2451,1e-06
15.542,1e-06
15.8419,1e-06
16.1448,1e-06
16.4507,1e-06
16.7596,1e-06
17.0717,1e-06
17.3869,1e-06
17.7052,1e-06
18.0268,1e-06
18.3515,1e-06
18.6795,1e-06
19.0108,1e-06
19.3453,1e-06
19.6833,1e-06
20.0246,1e-06
20.3693,1e-06
20.7174,1e-06
21.0691,1e-06
21.4242,1e-06
21.761,1e-06
22.1012,1e-06
