File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.861e+01
Avg = 1.495e+01
SD = 1.060e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.861e+00,1.930e+00,295443,2.244e+01
2,3.861e+00,7.721e+00,5.791e+00,173634,1.386e+01
3,7.721e+00,1.158e+01,9.652e+00,109038,8.510e+00
4,1.158e+01,1.544e+01,1.351e+01,88507,6.793e+00
5,1.544e+01,1.930e+01,1.737e+01,93509,7.255e+00
6,1.930e+01,2.316e+01,2.123e+01,129912,1.007e+01
7,2.316e+01,2.702e+01,2.509e+01,184532,1.437e+01
8,2.702e+01,3.089e+01,2.896e+01,153103,1.177e+01
9,3.089e+01,3.475e+01,3.282e+01,56096,4.136e+00
10,3.475e+01,3.861e+01,3.668e+01,35682,7.889e-01
