File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.880e+01
Avg = 1.060e+01
SD = 7.625e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.880e+00,1.440e+00,311179,2.373e+01
2,2.880e+00,5.760e+00,4.320e+00,183059,1.455e+01
3,5.760e+00,8.641e+00,7.201e+00,106350,8.278e+00
4,8.641e+00,1.152e+01,1.008e+01,90807,6.979e+00
5,1.152e+01,1.440e+01,1.296e+01,102090,7.919e+00
6,1.440e+01,1.728e+01,1.584e+01,149803,1.170e+01
7,1.728e+01,2.016e+01,1.872e+01,194166,1.499e+01
8,2.016e+01,2.304e+01,2.160e+01,108872,8.353e+00
9,2.304e+01,2.592e+01,2.448e+01,46122,2.940e+00
10,2.592e+01,2.880e+01,2.736e+01,27008,5.609e-01
