File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.223e+01
Avg = 1.176e+01
SD = 8.556e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.223e+00,1.612e+00,317108,2.420e+01
2,3.223e+00,6.447e+00,4.835e+00,174494,1.386e+01
3,6.447e+00,9.670e+00,8.059e+00,108716,8.461e+00
4,9.670e+00,1.289e+01,1.128e+01,91584,7.039e+00
5,1.289e+01,1.612e+01,1.451e+01,104133,8.080e+00
6,1.612e+01,1.934e+01,1.773e+01,153435,1.195e+01
7,1.934e+01,2.256e+01,2.095e+01,195420,1.511e+01
8,2.256e+01,2.579e+01,2.418e+01,103046,7.909e+00
9,2.579e+01,2.901e+01,2.740e+01,47481,2.875e+00
10,2.901e+01,3.223e+01,3.062e+01,24039,5.022e-01
