File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.294e+01
Avg = 1.254e+01
SD = 9.136e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.294e+00,1.647e+00,314001,2.394e+01
2,3.294e+00,6.588e+00,4.941e+00,167958,1.337e+01
3,6.588e+00,9.882e+00,8.235e+00,104527,8.149e+00
4,9.882e+00,1.318e+01,1.153e+01,86059,6.606e+00
5,1.318e+01,1.647e+01,1.482e+01,92579,7.178e+00
6,1.647e+01,1.976e+01,1.812e+01,132163,1.024e+01
7,1.976e+01,2.306e+01,2.141e+01,187397,1.456e+01
8,2.306e+01,2.635e+01,2.471e+01,143986,1.110e+01
9,2.635e+01,2.965e+01,2.800e+01,55363,4.080e+00
10,2.965e+01,3.294e+01,3.129e+01,35423,7.747e-01
