File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.128e+01
Avg = 1.725e+01
SD = 1.232e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.128e+00,2.064e+00,146142,2.133e+01
2,4.128e+00,8.257e+00,6.193e+00,89547,1.366e+01
3,8.257e+00,1.239e+01,1.032e+01,57783,8.582e+00
4,1.239e+01,1.651e+01,1.445e+01,38692,5.729e+00
5,1.651e+01,2.064e+01,1.858e+01,38858,5.735e+00
6,2.064e+01,2.477e+01,2.271e+01,51000,7.546e+00
7,2.477e+01,2.890e+01,2.683e+01,82319,1.241e+01
8,2.890e+01,3.303e+01,3.096e+01,99071,1.477e+01
9,3.303e+01,3.716e+01,3.509e+01,54504,8.087e+00
10,3.716e+01,4.128e+01,3.922e+01,39668,2.160e+00
