File = D:\Moldex3D\02. AI\Surrogate model - 2\Report\XYPlot\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,
Time (sec),Run 24 : V03FAM_G01_P04 (MPa),
2.99863,1.8043,
3.05633,0.763302,
3.11979,0.278873,
3.1896,0.0841878,
3.2664,0.0195378,
3.35087,0.00303387,
3.44379,0.000214828,
3.546,1e-06,
3.65843,1e-06,
3.7821,1e-06,
3.91815,1e-06,
4.06779,1e-06,
4.23241,1e-06,
4.41348,1e-06,
4.61266,1e-06,
4.83176,1e-06,
5.05305,1e-06,
5.27655,1e-06,
5.50229,1e-06,
5.73028,1e-06,
5.96055,1e-06,
6.19313,1e-06,
6.42803,1e-06,
6.66529,1e-06,
6.90491,1e-06,
7.14693,1e-06,
7.39137,1e-06,
7.63826,1e-06,
7.88761,1e-06,
8.13946,1e-06,
8.39383,1e-06,
8.65073,1e-06,
8.91021,1e-06,
9.17229,1e-06,
9.43698,1e-06,
9.70432,1e-06,
9.97434,1e-06,
10.2471,1e-06,
10.5225,1e-06,
10.8007,1e-06,
11.0817,1e-06,
11.3655,1e-06,
11.6521,1e-06,
11.9416,1e-06,
12.234,1e-06,
12.5293,1e-06,
12.8275,1e-06,
13.1288,1e-06,
13.4331,1e-06,
13.7403,1e-06,
14.0507,1e-06,
14.3642,1e-06,
14.6808,1e-06,
15.0006,1e-06,
15.3236,1e-06,
15.6498,1e-06,
15.9792,1e-06,
16.312,1e-06,
16.6481,1e-06,
16.9876,1e-06,
17.3304,1e-06,
17.6767,1e-06,
18.0264,1e-06,
18.3797,1e-06,
18.7364,1e-06,
19.0968,1e-06,
19.4607,1e-06,
19.8283,1e-06,
20.1995,1e-06,
20.5745,1e-06,
20.9532,1e-06,
21.3357,1e-06,
21.722,1e-06,
21.9154,1e-06,
22.128,1e-06,
