File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.317e+01
Avg = 8.864e+00
SD = 6.707e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.317e+00,1.159e+00,133737,2.639e+01
2,2.317e+00,4.634e+00,3.476e+00,68487,1.397e+01
3,4.634e+00,6.951e+00,5.793e+00,32509,6.400e+00
4,6.951e+00,9.268e+00,8.110e+00,24752,4.702e+00
5,9.268e+00,1.159e+01,1.043e+01,29308,5.684e+00
6,1.159e+01,1.390e+01,1.274e+01,51229,1.025e+01
7,1.390e+01,1.622e+01,1.506e+01,63255,1.304e+01
8,1.622e+01,1.854e+01,1.738e+01,72386,1.430e+01
9,1.854e+01,2.085e+01,1.970e+01,51857,4.649e+00
10,2.085e+01,2.317e+01,2.201e+01,5264,6.197e-01
