Test_ID,theta1,theta2,Pt,type,panel_a_in,panel_b_in,source_dataset,source_test_id,csv_path
6x4_001,65.0,19.0,19662.338495438697,2,6.0,4.0,6x4_curated_v1,Test_001,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_001.csv
6x4_002,40.0,-51.0,15516.468243569163,1,6.0,4.0,6x4_curated_v1,Test_002,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_002.csv
6x4_003,-44.0,65.0,15283.103421466823,1,6.0,4.0,6x4_curated_v1,Test_003,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_003.csv
6x4_004,49.0,48.0,14685.038124618122,1,6.0,4.0,6x4_curated_v1,Test_004,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_004.csv
6x4_005,-52.0,20.0,19017.402658062972,2,6.0,4.0,6x4_curated_v1,Test_005,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_005.csv
6x4_006,-15.0,-74.0,20754.70106893895,2,6.0,4.0,6x4_curated_v1,Test_006,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_006.csv
6x4_007,51.0,-83.0,11050.763333309067,1,6.0,4.0,6x4_curated_v1,Test_007,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_007.csv
6x4_008,86.0,9.0,21473.947435573413,2,6.0,4.0,6x4_curated_v1,Test_008,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_008.csv
6x4_009,-63.0,21.0,19810.341364807206,2,6.0,4.0,6x4_curated_v1,Test_009,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_009.csv
6x4_010,-74.0,83.0,6475.1691437324325,1,6.0,4.0,6x4_curated_v1,Test_010,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_010.csv
6x4_011,-39.0,-9.0,20453.97685275137,2,6.0,4.0,6x4_curated_v1,Test_011,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_011.csv
6x4_012,-56.0,9.0,21548.379771521366,2,6.0,4.0,6x4_curated_v1,Test_012,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_012.csv
6x4_013,61.0,33.0,16122.42566552643,2,6.0,4.0,6x4_curated_v1,Test_013,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_013.csv
6x4_014,19.0,79.0,20603.663841197562,2,6.0,4.0,6x4_curated_v1,Test_014,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_014.csv
6x4_015,35.0,60.0,15944.291849701582,2,6.0,4.0,6x4_curated_v1,Test_015,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_015.csv
6x4_016,75.0,-61.0,9605.86968700014,1,6.0,4.0,6x4_curated_v1,Test_016,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_016.csv
6x4_017,-30.0,66.0,17554.893196468318,2,6.0,4.0,6x4_curated_v1,Test_017,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_017.csv
6x4_018,-53.0,31.0,16200.86354226923,2,6.0,4.0,6x4_curated_v1,Test_018,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_018.csv
6x4_019,-79.0,29.0,18047.277970699313,2,6.0,4.0,6x4_curated_v1,Test_019,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_019.csv
6x4_020,-2.0,48.0,22366.67657833105,2,6.0,4.0,6x4_curated_v1,Test_020,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_020.csv
6x4_021,-49.0,-67.0,13241.473727550778,1,6.0,4.0,6x4_curated_v1,Test_021,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_021.csv
6x4_022,43.0,-33.0,15881.001246662378,2,6.0,4.0,6x4_curated_v1,Test_022,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_022.csv
6x4_023,62.0,-67.0,10922.264530441522,1,6.0,4.0,6x4_curated_v1,Test_023,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_023.csv
6x4_024,30.0,75.0,17917.135662089717,2,6.0,4.0,6x4_curated_v1,Test_024,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_024.csv
6x4_025,80.0,-80.0,5972.071636344868,1,6.0,4.0,6x4_curated_v1,Test_025,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_025.csv
6x4_026,-81.0,73.0,6739.4461962730475,1,6.0,4.0,6x4_curated_v1,Test_026,data/datasets/DD_cases_2_3_4_curated_v1/Case2/csv_load/force_disp_Test_026.csv
