File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.034e+01
Avg = 1.054e+01
SD = 7.457e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.034e+00,1.517e+00,338418,2.325e+01
2,3.034e+00,6.069e+00,4.551e+00,181160,1.304e+01
3,6.069e+00,9.103e+00,7.586e+00,152929,1.089e+01
4,9.103e+00,1.214e+01,1.062e+01,129129,9.143e+00
5,1.214e+01,1.517e+01,1.365e+01,153906,1.095e+01
6,1.517e+01,1.821e+01,1.669e+01,168793,1.197e+01
7,1.821e+01,2.124e+01,1.972e+01,187405,1.303e+01
8,2.124e+01,2.427e+01,2.276e+01,79356,5.553e+00
9,2.427e+01,2.731e+01,2.579e+01,52924,1.928e+00
10,2.731e+01,3.034e+01,2.883e+01,9708,2.365e-01
