Test_ID,Theta1,Theta2,Pt
Test_001,65.0,19.0,7534.715071405816
Test_002,40.0,-51.0,9914.920416991428
Test_003,-44.0,65.0,9432.477883311005
Test_004,49.0,48.0,10345.814402965785
Test_005,-52.0,20.0,7813.979543973258
Test_006,-15.0,-74.0,6880.468260381428
Test_007,51.0,-83.0,8428.041592901605
Test_008,86.0,9.0,6282.417083502739
Test_009,-63.0,21.0,7789.657812953683
Test_010,-74.0,83.0,4291.269133329335
Test_011,-39.0,-9.0,6617.1769490242
Test_012,-56.0,9.0,7211.061770148175
Test_013,61.0,33.0,8742.194851189088
Test_014,19.0,79.0,6960.1225870275575
Test_015,35.0,60.0,8937.893070147522
Test_016,75.0,-61.0,6871.359299724581
Test_017,-30.0,66.0,8414.677848720406
Test_018,-53.0,31.0,8868.372983953357
Test_019,-79.0,29.0,7800.330377543276
Test_020,-2.0,48.0,6916.845392701806
Test_021,-49.0,-67.0,9503.869878837782
Test_022,43.0,-33.0,9081.458872312436
Test_023,62.0,-67.0,7298.688867118204
Test_024,30.0,75.0,7933.859772224845
Test_025,80.0,-80.0,4242.450811588644
Test_026,-81.0,73.0,4542.812673731576
Test_027,54.0,-38.0,9565.27168420092
Test_028,36.0,-31.0,8694.219410304984
Test_029,52.0,-41.0,9981.447883419944
Test_030,15.0,-12.0,5254.507497881742
Test_031,-55.0,-62.0,8703.90252296249
Test_032,-19.0,-7.0,5185.704814453898
Test_033,-61.0,86.0,5970.411415920815
Test_034,-43.0,-15.0,7190.763504882399
Test_035,70.0,81.0,4865.016050006694
Test_036,8.0,25.0,5720.320830925971
Test_037,-85.0,67.0,5062.2037207287
Test_038,-56.0,52.0,9708.181842461105
Test_039,64.0,42.0,9278.336349474816
Test_040,-27.0,-54.0,8424.713745640005
Test_041,-2.0,-68.0,6692.884215057182
Test_042,84.0,51.0,8357.185167173264
Test_043,79.0,-71.0,4956.117892093866
Test_044,59.0,-56.0,8837.212253399226
Test_045,-18.0,-35.0,7103.081242022104
Test_046,-76.0,-77.0,4604.562149050341
Test_047,42.0,27.0,8206.135290238222
Test_048,1.0,71.0,6563.388039393604
Test_049,-37.0,22.0,7640.056383316708
Test_050,-16.0,44.0,7421.293317093813
Test_051,28.0,57.0,8468.996858937608
Test_052,-79.0,34.0,8096.135686112949
Test_053,3.0,87.0,6096.586330399429
Test_054,-17.0,-44.0,7424.493099337768
Test_055,44.0,-49.0,10549.665211453328
Test_056,67.0,-19.0,7464.384582603821
Test_057,2.0,74.0,6406.265356381364
Test_058,82.0,19.0,6870.007684597509
Test_059,14.0,3.0,4709.967384803875
Test_060,44.0,-84.0,8477.213186269419
Test_061,0.0,-52.0,6987.518535161345
