File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.421e+01
Avg = 1.224e+01
SD = 8.803e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.421e+00,1.710e+00,368590,2.248e+01
2,3.421e+00,6.842e+00,5.131e+00,231700,1.460e+01
3,6.842e+00,1.026e+01,8.552e+00,166332,1.046e+01
4,1.026e+01,1.368e+01,1.197e+01,134714,8.319e+00
5,1.368e+01,1.710e+01,1.539e+01,160703,1.010e+01
6,1.710e+01,2.053e+01,1.881e+01,164544,1.029e+01
7,2.053e+01,2.395e+01,2.224e+01,201507,1.243e+01
8,2.395e+01,2.737e+01,2.566e+01,129296,7.956e+00
9,2.737e+01,3.079e+01,2.908e+01,50430,2.866e+00
10,3.079e+01,3.421e+01,3.250e+01,29140,5.017e-01
