File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.203e+01
Avg = 1.633e+01
SD = 1.114e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.203e+00,2.101e+00,333334,2.027e+01
2,4.203e+00,8.405e+00,6.304e+00,196279,1.232e+01
3,8.405e+00,1.261e+01,1.051e+01,172922,1.094e+01
4,1.261e+01,1.681e+01,1.471e+01,135651,8.404e+00
5,1.681e+01,2.101e+01,1.891e+01,148632,9.272e+00
6,2.101e+01,2.522e+01,2.311e+01,170226,1.070e+01
7,2.522e+01,2.942e+01,2.732e+01,185094,1.151e+01
8,2.942e+01,3.362e+01,3.152e+01,191128,1.173e+01
9,3.362e+01,3.782e+01,3.572e+01,67119,4.083e+00
10,3.782e+01,4.203e+01,3.992e+01,36571,7.674e-01
