File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.215e+01
Avg = 1.244e+01
SD = 8.253e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.214e+00,1.607e+00,279758,1.692e+01
2,3.214e+00,6.429e+00,4.822e+00,260515,1.635e+01
3,6.429e+00,9.643e+00,8.036e+00,182306,1.152e+01
4,9.643e+00,1.286e+01,1.125e+01,135759,8.389e+00
5,1.286e+01,1.607e+01,1.447e+01,150960,9.463e+00
6,1.607e+01,1.929e+01,1.768e+01,164393,1.032e+01
7,1.929e+01,2.250e+01,2.089e+01,179767,1.117e+01
8,2.250e+01,2.572e+01,2.411e+01,183472,1.125e+01
9,2.572e+01,2.893e+01,2.732e+01,65516,3.957e+00
10,2.893e+01,3.215e+01,3.054e+01,34510,6.662e-01
