File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.691e+01
Avg = 1.019e+01
SD = 7.554e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.691e+00,1.345e+00,158501,2.323e+01
2,2.691e+00,5.381e+00,4.036e+00,112052,1.695e+01
3,5.381e+00,8.071e+00,6.726e+00,48393,7.172e+00
4,8.071e+00,1.076e+01,9.417e+00,38577,5.674e+00
5,1.076e+01,1.345e+01,1.211e+01,44606,6.604e+00
6,1.345e+01,1.614e+01,1.480e+01,69251,1.040e+01
7,1.614e+01,1.883e+01,1.749e+01,81390,1.230e+01
8,1.883e+01,2.152e+01,2.018e+01,81654,1.204e+01
9,2.152e+01,2.421e+01,2.287e+01,33761,4.316e+00
10,2.421e+01,2.691e+01,2.556e+01,29399,1.308e+00
