File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.305e+01
Avg = 8.739e+00
SD = 5.879e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.305e+00,1.152e+00,154364,1.676e+01
2,2.305e+00,4.609e+00,3.457e+00,145035,1.653e+01
3,4.609e+00,6.914e+00,5.761e+00,117123,1.326e+01
4,6.914e+00,9.218e+00,8.066e+00,73070,7.981e+00
5,9.218e+00,1.152e+01,1.037e+01,90841,1.020e+01
6,1.152e+01,1.383e+01,1.267e+01,85963,9.807e+00
7,1.383e+01,1.613e+01,1.498e+01,86305,9.795e+00
8,1.613e+01,1.844e+01,1.728e+01,104715,1.157e+01
9,1.844e+01,2.074e+01,1.959e+01,68288,3.757e+00
10,2.074e+01,2.305e+01,2.189e+01,5620,3.407e-01
