File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.053e+01
Avg = 7.264e+00
SD = 5.271e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.053e+00,1.026e+00,198898,2.185e+01
2,2.053e+00,4.106e+00,3.079e+00,143860,1.645e+01
3,4.106e+00,6.159e+00,5.132e+00,93231,1.038e+01
4,6.159e+00,8.212e+00,7.185e+00,74338,8.119e+00
5,8.212e+00,1.026e+01,9.238e+00,91095,1.033e+01
6,1.026e+01,1.232e+01,1.129e+01,85582,9.744e+00
7,1.232e+01,1.437e+01,1.334e+01,87236,9.921e+00
8,1.437e+01,1.642e+01,1.540e+01,95161,1.040e+01
9,1.642e+01,1.848e+01,1.745e+01,57107,2.490e+00
10,1.848e+01,2.053e+01,1.950e+01,4816,3.128e-01
