File= Filling_Pressure.csv
Min = 0.000e+00
Max = 1.794e+01
Avg = 6.245e+00
SD = 4.450e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,1.794e+00,8.968e-01,183504,2.009e+01
2,1.794e+00,3.587e+00,2.690e+00,148466,1.695e+01
3,3.587e+00,5.381e+00,4.484e+00,112752,1.259e+01
4,5.381e+00,7.174e+00,6.278e+00,84752,9.303e+00
5,7.174e+00,8.968e+00,8.071e+00,89267,1.016e+01
6,8.968e+00,1.076e+01,9.865e+00,83425,9.497e+00
7,1.076e+01,1.256e+01,1.166e+01,84595,9.624e+00
8,1.256e+01,1.435e+01,1.345e+01,86629,9.417e+00
9,1.435e+01,1.614e+01,1.525e+01,53302,2.056e+00
10,1.614e+01,1.794e+01,1.704e+01,4632,3.030e-01
