File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.550e+01
Avg = 1.011e+01
SD = 6.117e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.550e+00,1.275e+00,80932,8.261e+00
2,2.550e+00,5.099e+00,3.825e+00,178280,2.045e+01
3,5.099e+00,7.649e+00,6.374e+00,140509,1.599e+01
4,7.649e+00,1.020e+01,8.924e+00,79922,8.729e+00
5,1.020e+01,1.275e+01,1.147e+01,95261,1.066e+01
6,1.275e+01,1.530e+01,1.402e+01,89848,1.025e+01
7,1.530e+01,1.785e+01,1.657e+01,88695,1.007e+01
8,1.785e+01,2.040e+01,1.912e+01,104867,1.158e+01
9,2.040e+01,2.295e+01,2.167e+01,67318,3.656e+00
10,2.295e+01,2.550e+01,2.422e+01,5692,3.415e-01
