File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.084e+01
Avg = 1.227e+01
SD = 8.061e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.084e+00,1.542e+00,145016,1.568e+01
2,3.084e+00,6.168e+00,4.626e+00,145181,1.657e+01
3,6.168e+00,9.252e+00,7.710e+00,105894,1.206e+01
4,9.252e+00,1.234e+01,1.079e+01,70145,7.665e+00
5,1.234e+01,1.542e+01,1.388e+01,86317,9.577e+00
6,1.542e+01,1.850e+01,1.696e+01,89221,1.018e+01
7,1.850e+01,2.159e+01,2.005e+01,89110,1.013e+01
8,2.159e+01,2.467e+01,2.313e+01,110215,1.227e+01
9,2.467e+01,2.776e+01,2.621e+01,76442,5.491e+00
10,2.776e+01,3.084e+01,2.930e+01,13783,3.943e-01
