File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.591e+01
Avg = 9.773e+00
SD = 7.018e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.591e+00,1.296e+00,197040,2.163e+01
2,2.591e+00,5.182e+00,3.887e+00,124616,1.423e+01
3,5.182e+00,7.773e+00,6.478e+00,93665,1.057e+01
4,7.773e+00,1.036e+01,9.069e+00,64871,7.065e+00
5,1.036e+01,1.295e+01,1.166e+01,86275,9.651e+00
6,1.295e+01,1.555e+01,1.425e+01,85975,9.802e+00
7,1.555e+01,1.814e+01,1.684e+01,87319,9.910e+00
8,1.814e+01,2.073e+01,1.943e+01,106829,1.187e+01
9,2.073e+01,2.332e+01,2.202e+01,74040,4.912e+00
10,2.332e+01,2.591e+01,2.461e+01,10694,3.721e-01
