File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.160e+01
Avg = 1.674e+01
SD = 1.161e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.160e+00,2.080e+00,258649,2.024e+01
2,4.160e+00,8.320e+00,6.240e+00,144889,1.162e+01
3,8.320e+00,1.248e+01,1.040e+01,132018,1.060e+01
4,1.248e+01,1.664e+01,1.456e+01,107401,8.522e+00
5,1.664e+01,2.080e+01,1.872e+01,113432,9.087e+00
6,2.080e+01,2.496e+01,2.288e+01,122643,9.907e+00
7,2.496e+01,2.912e+01,2.704e+01,123802,9.881e+00
8,2.912e+01,3.328e+01,3.120e+01,140260,1.115e+01
9,3.328e+01,3.744e+01,3.536e+01,97366,7.552e+00
10,3.744e+01,4.160e+01,3.952e+01,42076,1.448e+00
