File= Filling_Pressure.csv
Min = 0.000e+00
Max = 5.491e+01
Avg = 2.362e+01
SD = 1.554e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,5.491e+00,2.746e+00,167493,1.489e+01
2,5.491e+00,1.098e+01,8.237e+00,168808,1.583e+01
3,1.098e+01,1.647e+01,1.373e+01,134073,1.248e+01
4,1.647e+01,2.197e+01,1.922e+01,74300,6.734e+00
5,2.197e+01,2.746e+01,2.471e+01,69696,6.328e+00
6,2.746e+01,3.295e+01,3.020e+01,94345,8.715e+00
7,3.295e+01,3.844e+01,3.569e+01,114459,1.070e+01
8,3.844e+01,4.393e+01,4.118e+01,133646,1.216e+01
9,4.393e+01,4.942e+01,4.668e+01,102136,9.488e+00
10,4.942e+01,5.491e+01,5.217e+01,54588,2.666e+00
