File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.796e+01
Avg = 2.109e+01
SD = 1.402e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.796e+00,2.398e+00,189247,1.695e+01
2,4.796e+00,9.591e+00,7.193e+00,140659,1.317e+01
3,9.591e+00,1.439e+01,1.199e+01,124154,1.160e+01
4,1.439e+01,1.918e+01,1.678e+01,72152,6.567e+00
5,1.918e+01,2.398e+01,2.158e+01,63218,5.697e+00
6,2.398e+01,2.877e+01,2.638e+01,82329,7.570e+00
7,2.877e+01,3.357e+01,3.117e+01,126701,1.183e+01
8,3.357e+01,3.836e+01,3.597e+01,140698,1.283e+01
9,3.836e+01,4.316e+01,4.076e+01,118286,1.097e+01
10,4.316e+01,4.796e+01,4.556e+01,56100,2.807e+00
