File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.738e+01
Avg = 1.510e+01
SD = 1.103e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.738e+00,1.869e+00,255112,2.312e+01
2,3.738e+00,7.476e+00,5.607e+00,142674,1.341e+01
3,7.476e+00,1.121e+01,9.345e+00,92549,8.500e+00
4,1.121e+01,1.495e+01,1.308e+01,62139,5.610e+00
5,1.495e+01,1.869e+01,1.682e+01,64458,5.879e+00
6,1.869e+01,2.243e+01,2.056e+01,102088,9.494e+00
7,2.243e+01,2.617e+01,2.430e+01,121848,1.137e+01
8,2.617e+01,2.990e+01,2.803e+01,142774,1.307e+01
9,2.990e+01,3.364e+01,3.177e+01,84830,7.715e+00
10,3.364e+01,3.738e+01,3.551e+01,45072,1.827e+00
