File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.453e+01
Avg = 1.822e+01
SD = 1.301e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.453e+00,2.227e+00,237710,2.148e+01
2,4.453e+00,8.907e+00,6.680e+00,137155,1.287e+01
3,8.907e+00,1.336e+01,1.113e+01,105675,9.787e+00
4,1.336e+01,1.781e+01,1.559e+01,66252,5.996e+00
5,1.781e+01,2.227e+01,2.004e+01,66429,6.039e+00
6,2.227e+01,2.672e+01,2.449e+01,102654,9.525e+00
7,2.672e+01,3.117e+01,2.895e+01,125661,1.173e+01
8,3.117e+01,3.563e+01,3.340e+01,141930,1.302e+01
9,3.563e+01,4.008e+01,3.785e+01,85136,7.732e+00
10,4.008e+01,4.453e+01,4.231e+01,44942,1.815e+00
