File= Filling_Pressure.csv
Min = 0.000e+00
Max = 5.008e+01
Avg = 2.043e+01
SD = 1.431e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,5.008e+00,2.504e+00,212934,1.917e+01
2,5.008e+00,1.002e+01,7.512e+00,157773,1.478e+01
3,1.002e+01,1.502e+01,1.252e+01,117227,1.086e+01
4,1.502e+01,2.003e+01,1.753e+01,72638,6.554e+00
5,2.003e+01,2.504e+01,2.254e+01,76329,6.982e+00
6,2.504e+01,3.005e+01,2.755e+01,106356,9.918e+00
7,3.005e+01,3.506e+01,3.255e+01,105635,9.850e+00
8,3.506e+01,4.007e+01,3.756e+01,125462,1.146e+01
9,4.007e+01,4.507e+01,4.257e+01,88960,8.157e+00
10,4.507e+01,5.008e+01,4.758e+01,50230,2.278e+00
