File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.700e+01
Avg = 2.056e+01
SD = 1.345e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.700e+00,2.350e+00,148428,1.634e+01
2,4.700e+00,9.400e+00,7.050e+00,103736,1.196e+01
3,9.400e+00,1.410e+01,1.175e+01,94769,1.101e+01
4,1.410e+01,1.880e+01,1.645e+01,77918,8.848e+00
5,1.880e+01,2.350e+01,2.115e+01,63589,7.131e+00
6,2.350e+01,2.820e+01,2.585e+01,82220,9.393e+00
7,2.820e+01,3.290e+01,3.055e+01,94270,1.060e+01
8,3.290e+01,3.760e+01,3.525e+01,102877,1.174e+01
9,3.760e+01,4.230e+01,3.995e+01,84961,9.819e+00
10,4.230e+01,4.700e+01,4.465e+01,49504,3.153e+00
