File= Filling_Pressure.csv
Min = 0.000e+00
Max = 5.378e+01
Avg = 2.379e+01
SD = 1.494e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,5.378e+00,2.689e+00,125950,1.372e+01
2,5.378e+00,1.076e+01,8.066e+00,114212,1.321e+01
3,1.076e+01,1.613e+01,1.344e+01,101340,1.175e+01
4,1.613e+01,2.151e+01,1.882e+01,83085,9.451e+00
5,2.151e+01,2.689e+01,2.420e+01,66226,7.430e+00
6,2.689e+01,3.226e+01,2.958e+01,85148,9.721e+00
7,3.226e+01,3.764e+01,3.495e+01,90144,1.024e+01
8,3.764e+01,4.302e+01,4.033e+01,104868,1.189e+01
9,4.302e+01,4.840e+01,4.571e+01,82873,9.557e+00
10,4.840e+01,5.378e+01,5.109e+01,48426,3.033e+00
