File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.601e+01
Avg = 1.512e+01
SD = 9.889e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.601e+00,1.800e+00,153194,1.691e+01
2,3.601e+00,7.201e+00,5.401e+00,115179,1.332e+01
3,7.201e+00,1.080e+01,9.001e+00,98370,1.141e+01
4,1.080e+01,1.440e+01,1.260e+01,72060,8.104e+00
5,1.440e+01,1.800e+01,1.620e+01,70296,7.914e+00
6,1.800e+01,2.160e+01,1.980e+01,91129,1.052e+01
7,2.160e+01,2.520e+01,2.340e+01,89546,1.027e+01
8,2.520e+01,2.880e+01,2.700e+01,107300,1.216e+01
9,2.880e+01,3.240e+01,3.060e+01,66248,7.409e+00
10,3.240e+01,3.601e+01,3.420e+01,38950,2.005e+00
