File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.234e+01
Avg = 1.790e+01
SD = 1.130e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.234e+00,2.117e+00,131504,1.437e+01
2,4.234e+00,8.467e+00,6.351e+00,120816,1.399e+01
3,8.467e+00,1.270e+01,1.058e+01,106333,1.236e+01
4,1.270e+01,1.693e+01,1.482e+01,79990,8.991e+00
5,1.693e+01,2.117e+01,1.905e+01,75116,8.444e+00
6,2.117e+01,2.540e+01,2.329e+01,95299,1.099e+01
7,2.540e+01,2.964e+01,2.752e+01,88946,1.020e+01
8,2.964e+01,3.387e+01,3.175e+01,101206,1.149e+01
9,3.387e+01,3.810e+01,3.599e+01,64156,7.169e+00
10,3.810e+01,4.234e+01,4.022e+01,38906,1.997e+00
