File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.861e+01
Avg = 1.617e+01
SD = 1.118e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.861e+00,1.931e+00,178880,1.990e+01
2,3.861e+00,7.722e+00,5.792e+00,96988,1.119e+01
3,7.722e+00,1.158e+01,9.653e+00,90741,1.052e+01
4,1.158e+01,1.544e+01,1.351e+01,68641,7.723e+00
5,1.544e+01,1.931e+01,1.738e+01,65121,7.325e+00
6,1.931e+01,2.317e+01,2.124e+01,87727,1.010e+01
7,2.317e+01,2.703e+01,2.510e+01,88324,1.012e+01
8,2.703e+01,3.089e+01,2.896e+01,103034,1.164e+01
9,3.089e+01,3.475e+01,3.282e+01,79914,9.028e+00
10,3.475e+01,3.861e+01,3.668e+01,42902,2.441e+00
