File= Filling_Pressure.csv
Min = 0.000e+00
Max = 1.314e+01
Avg = 4.208e+00
SD = 2.536e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,1.314e+00,6.568e-01,154718,1.522e+01
2,1.314e+00,2.627e+00,1.971e+00,187623,2.068e+01
3,2.627e+00,3.941e+00,3.284e+00,123866,1.299e+01
4,3.941e+00,5.255e+00,4.598e+00,113061,1.179e+01
5,5.255e+00,6.568e+00,5.912e+00,159671,1.702e+01
6,6.568e+00,7.882e+00,7.225e+00,146153,1.543e+01
7,7.882e+00,9.196e+00,8.539e+00,50980,5.148e+00
8,9.196e+00,1.051e+01,9.853e+00,45726,1.387e+00
9,1.051e+01,1.182e+01,1.117e+01,3322,1.590e-01
10,1.182e+01,1.314e+01,1.248e+01,2880,1.689e-01
