File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.270e+01
Avg = 7.300e+00
SD = 5.270e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.270e+00,1.135e+00,244836,2.521e+01
2,2.270e+00,4.541e+00,3.406e+00,138461,1.510e+01
3,4.541e+00,6.811e+00,5.676e+00,91992,9.537e+00
4,6.811e+00,9.082e+00,7.946e+00,87382,9.077e+00
5,9.082e+00,1.135e+01,1.022e+01,114161,1.201e+01
6,1.135e+01,1.362e+01,1.249e+01,145230,1.547e+01
7,1.362e+01,1.589e+01,1.476e+01,85603,9.132e+00
8,1.589e+01,1.816e+01,1.703e+01,46800,3.640e+00
9,1.816e+01,2.043e+01,1.930e+01,30159,6.185e-01
10,2.043e+01,2.270e+01,2.157e+01,3376,2.066e-01
