File= Filling_Pressure.csv
Min = 0.000e+00
Max = 1.534e+01
Avg = 5.098e+00
SD = 3.078e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,1.534e+00,7.672e-01,96924,9.727e+00
2,1.534e+00,3.069e+00,2.301e+00,247209,2.636e+01
3,3.069e+00,4.603e+00,3.836e+00,130545,1.371e+01
4,4.603e+00,6.137e+00,5.370e+00,104445,1.087e+01
5,6.137e+00,7.672e+00,6.904e+00,128030,1.361e+01
6,7.672e+00,9.206e+00,8.439e+00,144579,1.535e+01
7,9.206e+00,1.074e+01,9.973e+00,68484,7.212e+00
8,1.074e+01,1.227e+01,1.151e+01,45918,2.662e+00
9,1.227e+01,1.381e+01,1.304e+01,18986,3.317e-01
10,1.381e+01,1.534e+01,1.458e+01,2880,1.689e-01
