File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.439e+01
Avg = 8.637e+00
SD = 5.453e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.439e+00,1.219e+00,144788,1.415e+01
2,2.439e+00,4.878e+00,3.658e+00,195916,2.163e+01
3,4.878e+00,7.316e+00,6.097e+00,106768,1.119e+01
4,7.316e+00,9.755e+00,8.536e+00,90746,9.375e+00
5,9.755e+00,1.219e+01,1.097e+01,105297,1.105e+01
6,1.219e+01,1.463e+01,1.341e+01,139402,1.495e+01
7,1.463e+01,1.707e+01,1.585e+01,111087,1.178e+01
8,1.707e+01,1.951e+01,1.829e+01,49759,4.644e+00
9,1.951e+01,2.195e+01,2.073e+01,40205,9.708e-01
10,2.195e+01,2.439e+01,2.317e+01,4032,2.566e-01
