File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.039e+01
Avg = 7.242e+00
SD = 4.170e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.039e+00,1.019e+00,66824,6.584e+00
2,2.039e+00,4.077e+00,3.058e+00,243023,2.590e+01
3,4.077e+00,6.116e+00,5.097e+00,140454,1.480e+01
4,6.116e+00,8.155e+00,7.135e+00,99520,1.031e+01
5,8.155e+00,1.019e+01,9.174e+00,119169,1.250e+01
6,1.019e+01,1.223e+01,1.121e+01,149664,1.599e+01
7,1.223e+01,1.427e+01,1.325e+01,88778,9.437e+00
8,1.427e+01,1.631e+01,1.529e+01,46706,3.636e+00
9,1.631e+01,1.835e+01,1.733e+01,29846,5.827e-01
10,1.835e+01,2.039e+01,1.937e+01,4016,2.553e-01
