case,test_id,theta1,theta2,label
Case3,Test_160,27.0,5.0,3
Case3,Test_161,47.0,-42.0,1
Case3,Test_162,-4.0,55.0,2
Case3,Test_163,-78.0,84.0,1
Case3,Test_164,-8.0,62.0,2
Case3,Test_165,6.0,-37.0,2
Case3,Test_166,-22.0,23.0,2
Case3,Test_167,-71.0,-50.0,1
Case3,Test_168,-16.0,-87.0,2
Case3,Test_169,-46.0,-76.0,1
Case3,Test_170,1.0,-16.0,3
Case3,Test_171,80.0,66.0,1
Case3,Test_172,7.0,42.0,2
Case3,Test_173,68.0,90.0,1
Case3,Test_174,-69.0,28.0,2
Case3,Test_175,66.0,18.0,2
Case3,Test_176,-56.0,-10.0,2
Case3,Test_177,65.0,-4.0,2
Case3,Test_178,79.0,72.0,1
Case3,Test_179,36.0,-84.0,2
Case3,Test_180,22.0,-27.0,2
Case3,Test_181,-47.0,5.0,2
Case3,Test_182,16.0,-60.0,2
Case3,Test_183,70.0,-63.0,1
Case3,Test_184,58.0,-22.0,2
Case3,Test_185,-4.0,7.0,3
Case3,Test_186,61.0,-55.0,1
Case3,Test_187,51.0,-25.0,2
Case3,Test_188,-30.0,-6.0,3
Case3,Test_189,-82.0,-27.0,2
Case3,Test_190,31.0,-45.0,2
Case3,Test_191,-48.0,-78.0,1
Case3,Test_192,-34.0,65.0,2
Case3,Test_193,41.0,-83.0,1
Case3,Test_194,-29.0,74.0,2
Case3,Test_195,43.0,37.0,1
Case3,Test_196,-73.0,89.0,1
Case3,Test_197,-41.0,12.0,2
Case3,Test_198,-64.0,-44.0,1
Case3,Test_199,-62.0,-53.0,1
Case3,Test_200,35.0,82.0,2
Case4,Test_001,11.0,49.0,2
Case4,Test_002,-15.0,-71.0,2
Case4,Test_003,-88.0,11.0,2
Case4,Test_004,-25.0,-46.0,2
Case4,Test_005,32.0,27.0,2
Case4,Test_006,-76.0,-52.0,1
Case4,Test_007,-66.0,-12.0,2
Case4,Test_008,-43.0,77.0,1
Case4,Test_009,75.0,40.0,1
Case4,Test_010,-63.0,87.0,1
Case4,Test_011,-72.0,-8.0,2
Case4,Test_012,-84.0,47.0,1
Case4,Test_013,57.0,48.0,1
Case4,Test_014,54.0,51.0,1
Case4,Test_015,17.0,33.0,2
Case4,Test_016,52.0,44.0,1
Case4,Test_017,-41.0,73.0,2
Case4,Test_018,88.0,18.0,2
Case4,Test_019,-28.0,-86.0,2
Case4,Test_020,-15.0,-39.0,2
Case4,Test_021,-2.0,-69.0,2
