case,test_id,theta1,theta2,pt,predicted_type,confidence,type1_probability,type2_probability,type3_probability,review_priority,csv_path,plot_path
Case4,Test_001,65.0,19.0,7534.715071405816,2,0.72,0.085,0.72,0.195,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_001.csv,data/New_Data/6x8_Case4/Original/plot_Test_001_original.png
Case4,Test_002,40.0,-51.0,9914.920416991428,2,0.54,0.44333333333333336,0.54,0.016666666666666666,high,data/New_Data/csv_6x8_Case4/force_disp_Test_002.csv,data/New_Data/6x8_Case4/Original/plot_Test_002_original.png
Case4,Test_003,-44.0,65.0,9432.477883311005,2,0.5766666666666667,0.4083333333333333,0.5766666666666667,0.015,high,data/New_Data/csv_6x8_Case4/force_disp_Test_003.csv,data/New_Data/6x8_Case4/Original/plot_Test_003_original.png
Case4,Test_005,-52.0,20.0,7813.979543973258,2,0.7366666666666667,0.07666666666666666,0.7366666666666667,0.18666666666666668,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_005.csv,data/New_Data/6x8_Case4/Original/plot_Test_005_original.png
Case4,Test_006,-15.0,-74.0,6880.468260381428,2,0.75,0.06333333333333334,0.75,0.18666666666666668,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_006.csv,data/New_Data/6x8_Case4/Original/plot_Test_006_original.png
Case4,Test_008,86.0,9.0,6282.417083502739,2,0.6383333333333333,0.09,0.6383333333333333,0.27166666666666667,high,data/New_Data/csv_6x8_Case4/force_disp_Test_008.csv,data/New_Data/6x8_Case4/Original/plot_Test_008_original.png
Case4,Test_009,-63.0,21.0,7789.657812953683,2,0.775,0.075,0.775,0.15,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_009.csv,data/New_Data/6x8_Case4/Original/plot_Test_009_original.png
Case4,Test_012,-56.0,9.0,7211.061770148175,2,0.685,0.05333333333333334,0.685,0.26166666666666666,high,data/New_Data/csv_6x8_Case4/force_disp_Test_012.csv,data/New_Data/6x8_Case4/Original/plot_Test_012_original.png
Case4,Test_013,61.0,33.0,8742.194851189088,2,0.6833333333333333,0.21,0.6833333333333333,0.10666666666666667,high,data/New_Data/csv_6x8_Case4/force_disp_Test_013.csv,data/New_Data/6x8_Case4/Original/plot_Test_013_original.png
Case4,Test_014,19.0,79.0,6960.1225870275575,2,0.8366666666666667,0.065,0.8366666666666667,0.09833333333333333,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_014.csv,data/New_Data/6x8_Case4/Original/plot_Test_014_original.png
Case4,Test_015,35.0,60.0,8937.893070147522,2,0.6466666666666666,0.255,0.6466666666666666,0.09833333333333333,high,data/New_Data/csv_6x8_Case4/force_disp_Test_015.csv,data/New_Data/6x8_Case4/Original/plot_Test_015_original.png
Case4,Test_017,-30.0,66.0,8414.677848720406,2,0.7816666666666666,0.14166666666666666,0.7816666666666666,0.07666666666666666,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_017.csv,data/New_Data/6x8_Case4/Original/plot_Test_017_original.png
Case4,Test_018,-53.0,31.0,8868.372983953357,2,0.72,0.17666666666666667,0.72,0.10333333333333333,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_018.csv,data/New_Data/6x8_Case4/Original/plot_Test_018_original.png
Case4,Test_019,-79.0,29.0,7800.330377543276,2,0.7716666666666666,0.12,0.7716666666666666,0.10833333333333334,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_019.csv,data/New_Data/6x8_Case4/Original/plot_Test_019_original.png
Case4,Test_020,-2.0,48.0,6916.845392701806,2,0.6566666666666666,0.03166666666666667,0.6566666666666666,0.31166666666666665,high,data/New_Data/csv_6x8_Case4/force_disp_Test_020.csv,data/New_Data/6x8_Case4/Original/plot_Test_020_original.png
Case4,Test_022,43.0,-33.0,9081.458872312436,2,0.595,0.275,0.595,0.13,high,data/New_Data/csv_6x8_Case4/force_disp_Test_022.csv,data/New_Data/6x8_Case4/Original/plot_Test_022_original.png
Case4,Test_024,30.0,75.0,7933.859772224845,2,0.7766666666666666,0.135,0.7766666666666666,0.08833333333333333,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_024.csv,data/New_Data/6x8_Case4/Original/plot_Test_024_original.png
Case4,Test_027,54.0,-38.0,9565.27168420092,2,0.5716666666666667,0.36,0.5716666666666667,0.06833333333333333,high,data/New_Data/csv_6x8_Case4/force_disp_Test_027.csv,data/New_Data/6x8_Case4/Original/plot_Test_027_original.png
Case4,Test_028,36.0,-31.0,8694.219410304984,2,0.6066666666666667,0.17666666666666667,0.6066666666666667,0.21666666666666667,high,data/New_Data/csv_6x8_Case4/force_disp_Test_028.csv,data/New_Data/6x8_Case4/Original/plot_Test_028_original.png
Case4,Test_029,52.0,-41.0,9981.447883419944,2,0.5266666666666666,0.46166666666666667,0.5266666666666666,0.011666666666666667,high,data/New_Data/csv_6x8_Case4/force_disp_Test_029.csv,data/New_Data/6x8_Case4/Original/plot_Test_029_original.png
Case4,Test_034,-43.0,-15.0,7190.763504882399,2,0.53,0.05333333333333334,0.53,0.4166666666666667,high,data/New_Data/csv_6x8_Case4/force_disp_Test_034.csv,data/New_Data/6x8_Case4/Original/plot_Test_034_original.png
Case4,Test_039,64.0,42.0,9278.336349474816,2,0.5816666666666667,0.37666666666666665,0.5816666666666667,0.041666666666666664,high,data/New_Data/csv_6x8_Case4/force_disp_Test_039.csv,data/New_Data/6x8_Case4/Original/plot_Test_039_original.png
Case4,Test_040,-27.0,-54.0,8424.713745640005,2,0.69,0.13666666666666666,0.69,0.17333333333333334,high,data/New_Data/csv_6x8_Case4/force_disp_Test_040.csv,data/New_Data/6x8_Case4/Original/plot_Test_040_original.png
Case4,Test_041,-2.0,-68.0,6692.884215057182,2,0.7216666666666667,0.04833333333333333,0.7216666666666667,0.23,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_041.csv,data/New_Data/6x8_Case4/Original/plot_Test_041_original.png
Case4,Test_047,42.0,27.0,8206.135290238222,2,0.6333333333333333,0.13166666666666665,0.6333333333333333,0.235,high,data/New_Data/csv_6x8_Case4/force_disp_Test_047.csv,data/New_Data/6x8_Case4/Original/plot_Test_047_original.png
Case4,Test_048,1.0,71.0,6563.388039393604,2,0.7983333333333333,0.03833333333333333,0.7983333333333333,0.16333333333333333,medium,data/New_Data/csv_6x8_Case4/force_disp_Test_048.csv,data/New_Data/6x8_Case4/Original/plot_Test_048_original.png
Case4,Test_049,-37.0,22.0,7640.056383316708,2,0.555,0.10666666666666667,0.555,0.3383333333333333,high,data/New_Data/csv_6x8_Case4/force_disp_Test_049.csv,data/New_Data/6x8_Case4/Original/plot_Test_049_original.png
