File= Filling_Pressure.csv
Min = 0.000e+00
Max = 3.660e+01
Avg = 1.474e+01
SD = 1.028e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,3.660e+00,1.830e+00,246570,2.091e+01
2,3.660e+00,7.320e+00,5.490e+00,133103,1.153e+01
3,7.320e+00,1.098e+01,9.151e+00,123109,1.063e+01
4,1.098e+01,1.464e+01,1.281e+01,88298,7.486e+00
5,1.464e+01,1.830e+01,1.647e+01,90576,7.698e+00
6,1.830e+01,2.196e+01,2.013e+01,121768,1.054e+01
7,2.196e+01,2.562e+01,2.379e+01,124002,1.071e+01
8,2.562e+01,2.928e+01,2.745e+01,149214,1.277e+01
9,2.928e+01,3.294e+01,3.111e+01,75705,6.415e+00
10,3.294e+01,3.660e+01,3.477e+01,43599,1.310e+00
