File = source:G27_P01-10_SPRUE_PRESSURE.csv

Title,Packing-Sprue Pressure

Time (sec),Run 2 : G27_P02 (MPa)
0.00163597,0.00042046
0.00393062,1.18534e-06
0.00634372,0.000360418
0.00872384,0.0147385
0.0117072,0.023885
0.0144956,0.533996
0.0173873,0.998589
0.0189907,1.21918
0.0199959,1.15964
0.0209781,1.20081
0.0219899,1.23233
0.0230276,1.25117
0.0240718,1.28974
0.0253078,1.31289
0.026705,1.38786
0.0283604,1.46834
0.0303274,1.53796
0.0326316,1.62161
0.0353763,1.70475
0.0380901,1.77665
0.0412465,1.85403
0.0444142,1.92763
0.0481379,2.01039
0.0525394,2.10439
0.0569152,2.19079
0.0619125,2.28158
0.0670228,2.36836
0.0722432,2.44873
0.0782128,2.53381
0.0843517,2.62601
0.0904551,2.70342
0.0966038,2.7811
0.103765,2.87133
0.111047,2.95659
0.118294,3.03825
0.12568,3.12246
0.134348,3.21214
0.142845,3.29886
0.151583,3.38738
0.160353,3.4712
0.17041,3.5648
0.180578,3.65996
0.190611,3.75096
0.200898,3.84207
0.211169,3.93158
0.221596,4.03445
0.232063,4.13614
0.244135,4.24388
0.256304,4.3824
0.268576,4.54484
0.28059,4.72144
0.292664,4.89793
0.303884,5.13679
0.314585,5.36426
0.324997,5.56719
0.335373,5.77803
0.345641,5.98225
0.355767,6.18571
0.365979,6.38609
0.376121,6.59337
0.385976,6.78247
0.396199,6.97976
0.406478,7.18125
0.416696,7.37805
0.427111,7.57346
0.437365,7.77909
0.447284,7.96767
0.457426,8.16218
0.467337,8.34814
0.477474,8.53651
0.487716,8.72837
0.498064,8.92824
0.50786,9.1176
0.517134,9.34413
0.525909,9.5578
0.534476,9.76752
0.541916,9.95797
0.549448,10.1565
0.556752,10.3452
0.564175,10.5495
0.571252,10.7521
0.578237,10.9448
0.585523,11.1557
0.592707,11.3719
0.599046,11.5704
0.605365,11.7594
0.611722,11.9526
0.618134,12.1621
0.624296,12.3515
0.630683,12.5512
0.63703,12.7617
0.643217,12.9549
0.649541,13.1505
0.655878,13.3527
0.662282,13.5548
0.668746,13.7588
0.675255,13.9566
0.681885,14.1607
0.688637,14.3648
0.695338,14.571
0.702119,14.7758
0.7091,14.977
0.716125,15.1862
0.7232,15.3966
0.730292,15.6061
0.737626,15.812
0.745066,16.0276
0.752237,16.2485
0.75969,16.4522
0.767253,16.6729
0.774726,16.8959
0.782415,17.1232
0.78998,17.3523
0.797597,17.571
0.805217,17.7853
0.814286,18.0203
0.823447,18.3158
0.832319,18.5843
0.841317,18.8413
0.850285,19.1034
0.859444,19.3645
0.869505,19.6418
0.879317,19.9496
0.889048,20.244
0.898742,20.5212
0.90873,20.812
0.918533,21.1101
0.928462,21.3984
0.938284,21.6906
0.948187,21.9751
0.958067,22.2717
0.967676,22.5377
0.977442,22.8085
0.987343,23.0832
0.997216,23.359
1.00708,23.6286
1.01691,23.898
1.02673,24.1611
1.03653,24.4254
1.04628,24.695
1.05581,24.9427
1.06557,25.1929
1.0754,25.4514
1.0852,25.7097
1.09522,25.9681
1.10496,26.2301
1.11487,26.4836
1.1246,26.745
1.13457,26.9996
1.14444,27.2682
1.15429,27.5311
1.16418,27.7959
1.17387,28.0598
1.18373,28.3155
1.19354,28.5902
1.20316,28.846
1.20617,29.0526
1.21771,31.1219
1.2289,32.9001
1.2289,32.9001
1.2392,34.3524
1.24981,35.6942
1.26074,36.9296
1.27199,38.063
1.28359,39.0991
1.29553,40.0425
1.30783,40.8982
1.3205,41.6711
1.33354,42.3664
1.34698,42.9891
1.36082,43.5443
1.37508,44.037
1.38977,44.4722
1.40489,44.8545
1.42047,45.1888
1.43652,45.4794
1.45305,45.7308
1.47007,45.9468
1.48761,46.1315
1.50567,46.2884
1.52427,46.4208
1.54343,46.5317
1.56317,46.6242
1.5835,46.7006
1.60443,46.7633
1.626,46.8143
1.64821,46.8556
1.67109,46.8886
1.69466,46.9149
1.71893,46.9355
1.74393,46.9516
1.76968,46.9641
1.79621,46.9736
1.82352,46.9808
1.85166,46.9862
1.88065,46.9902
1.91398,46.9935
1.95231,46.996
1.99638,46.9978
2.04708,46.9989
2.10284,46.9995
2.16417,46.9998
2.23164,46.9999
2.30586,47
2.3875,47
2.4773,47
2.57608,47
2.68474,47
2.80427,47
2.93575,47
3.08038,47
3.23947,47
3.41447,47
3.60697,47
3.81872,47
4.03258,47
4.24859,47
4.46675,47
4.6871,47
4.90965,47
5.13443,47
5.36145,47
5.59074,47
5.82233,47
6.05623,47
6.29248,47
6.53108,47
6.77207,47
7.01547,47
7.2613,47
7.5096,47
7.76037,47
7.88718,47
8.02666,47
8.0593,37
8.08633,27
8.11741,18.6081
8.15315,11.957
8.19426,7.04209
8.24153,3.71326
8.29589,1.6947
8.35569,0.681317
8.42146,0.233168
8.49382,0.0644605
8.57341,0.0131564
8.66096,0.00163811
8.91424,1e-06
9.17006,1e-06
9.42843,1e-06
9.68939,1e-06
9.95296,1e-06
10.2192,1e-06
10.488,1e-06
10.7596,1e-06
11.0338,1e-06
11.3109,1e-06
11.5906,1e-06
11.8732,1e-06
12.1586,1e-06
12.4469,1e-06
12.738,1e-06
13.0321,1e-06
13.3291,1e-06
13.629,1e-06
13.932,1e-06
14.238,1e-06
14.5471,1e-06
14.8592,1e-06
15.1745,1e-06
15.4929,1e-06
15.8145,1e-06
16.1393,1e-06
16.4674,1e-06
16.7987,1e-06
17.1334,1e-06
17.4714,1e-06
