File= Filling_Pressure.csv
Min = 0.000e+00
Max = 4.616e+01
Avg = 1.919e+01
SD = 1.327e+01

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,4.616e+00,2.308e+00,251588,2.003e+01
2,4.616e+00,9.232e+00,6.924e+00,159237,1.307e+01
3,9.232e+00,1.385e+01,1.154e+01,126904,1.025e+01
4,1.385e+01,1.846e+01,1.616e+01,78087,6.230e+00
5,1.846e+01,2.308e+01,2.077e+01,75952,6.070e+00
6,2.308e+01,2.770e+01,2.539e+01,112706,9.090e+00
7,2.770e+01,3.231e+01,3.000e+01,148675,1.214e+01
8,3.231e+01,3.693e+01,3.462e+01,173465,1.402e+01
9,3.693e+01,4.154e+01,3.924e+01,95374,7.591e+00
10,4.154e+01,4.616e+01,4.385e+01,42464,1.500e+00
