File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.840e+01
Avg = 1.070e+01
SD = 7.375e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.840e+00,1.420e+00,190046,2.042e+01
2,2.840e+00,5.680e+00,4.260e+00,151110,1.674e+01
3,5.680e+00,8.519e+00,7.100e+00,79913,8.735e+00
4,8.519e+00,1.136e+01,9.939e+00,67025,7.333e+00
5,1.136e+01,1.420e+01,1.278e+01,72508,7.897e+00
6,1.420e+01,1.704e+01,1.562e+01,98790,1.084e+01
7,1.704e+01,1.988e+01,1.846e+01,148561,1.627e+01
8,1.988e+01,2.272e+01,2.130e+01,71487,7.781e+00
9,2.272e+01,2.556e+01,2.414e+01,37169,3.182e+00
10,2.556e+01,2.840e+01,2.698e+01,23523,7.931e-01
