File = D:\Moldex3D\02. AI\Surrogate model - 2\Report\XYPlot\Packing-Sprue Pressure.csv

Title,Packing-Sprue Pressure
,,
Time (sec),Run 30 : V03FAM_G02_P05 (MPa),
0.000671085,0.00170856,
0.00185734,0.000268287,
0.00319798,0.009749,
0.0044837,0.00335902,
0.00579878,0.132859,
0.00712744,1.16228,
0.0083796,2.03241,
0.0088738,1.7493,
0.00943832,1.69022,
0.0100394,1.70625,
0.0106596,1.72553,
0.0112915,1.73719,
0.0120257,1.74528,
0.0127105,1.75186,
0.0134411,1.80271,
0.0142725,1.88104,
0.0152826,1.92895,
0.0163419,1.9636,
0.0174307,1.99421,
0.0185356,2.02106,
0.0196507,2.0466,
0.0209741,2.09129,
0.0222783,2.12607,
0.0235818,2.1609,
0.0251261,2.11431,
0.0266194,2.2251,
0.0281633,2.21055,
0.0299511,2.24225,
0.0317268,2.27271,
0.0335096,2.30092,
0.0353024,2.32635,
0.0374093,2.35294,
0.0395185,2.37835,
0.0416337,2.40114,
0.0437539,2.42244,
0.0458854,2.44269,
0.0480303,2.46096,
0.0505336,2.48049,
0.0530316,2.50149,
0.0555532,2.52222,
0.0580958,2.54109,
0.0606483,2.55886,
0.0636365,2.5789,
0.0666178,2.59821,
0.0696225,2.61735,
0.0726482,2.63486,
0.075678,2.65294,
0.0787105,2.66956,
0.082244,2.68826,
0.0857795,2.708,
0.089333,2.72639,
0.0928993,2.74399,
0.0964761,2.7611,
0.100067,2.77744,
0.103682,2.79357,
0.107313,2.80921,
0.11155,2.82731,
0.115768,2.84573,
0.120006,2.86327,
0.124248,2.87979,
0.128506,2.89688,
0.132776,2.91293,
0.137064,2.9284,
0.141294,2.94542,
0.14559,2.95875,
0.149904,2.97244,
0.154243,2.98556,
0.159322,3.0017,
0.16434,3.01783,
0.169246,3.0429,
0.174166,3.06732,
0.179122,3.08844,
0.184097,3.10829,
0.189077,3.12619,
0.194082,3.146,
0.198897,3.16639,
0.203925,3.18197,
0.209001,3.19746,
0.213891,3.21546,
0.218845,3.2327,
0.223824,3.25337,
0.228726,3.27333,
0.233641,3.29102,
0.238564,3.30289,
0.243675,3.31651,
0.248657,3.33035,
0.253786,3.34183,
0.258879,3.35648,
0.263949,3.37076,
0.269046,3.38502,
0.274157,3.39926,
0.279281,3.41317,
0.284435,3.42635,
0.289565,3.43952,
0.29449,3.45238,
0.299749,3.51981,
0.3049,3.64158,
0.310129,3.65537,
0.315392,3.68071,
0.320621,3.70831,
0.325834,3.73923,
0.331007,3.76752,
0.336161,3.79894,
0.34128,3.82895,
0.34638,3.86077,
0.351475,3.89212,
0.356546,3.92262,
0.361604,3.95446,
0.366663,3.98643,
0.371722,4.01627,
0.376792,4.04809,
0.38186,4.07835,
0.386921,4.10877,
0.39198,4.13973,
0.397071,4.16933,
0.402192,4.19784,
0.407317,4.22661,
0.412461,4.25503,
0.417649,4.28285,
0.422859,4.3106,
0.428092,4.337,
0.433347,4.3642,
0.438637,4.39108,
0.443958,4.41839,
0.449316,4.44419,
0.454715,4.47024,
0.460136,4.4955,
0.465602,4.52156,
0.47109,4.53875,
0.476445,4.5686,
0.481797,4.59761,
0.487194,4.63084,
