File = D:\Moldex3D\02. AI\Only CAE Surrogate\Report\XYPlot\G04_P01-10_SPRUE PRESSURE.csv

Title,Packing-Sprue Pressure
,,,,,,,,,,,,,,,,,,,,
Time (sec),Run 4 : G04_P01 (MPa),Time (sec),Run 38 : G04_P02 (MPa),Time (sec),Run 39 : G04_P03 (MPa),Time (sec),Run 40 : G04_P04 (MPa),Time (sec),Run 41 : G04_P05 (MPa),Time (sec),Run 42 : G04_P06 (MPa),Time (sec),Run 43 : G04_P07 (MPa),Time (sec),Run 44 : G04_P08 (MPa),Time (sec),Run 45 : G04_P09 (MPa),Time (sec),Run 46 : G04_P10 (MPa),
0.00272037,0.000283781,0.00134477,0.000211084,0.000691658,0.000825304,0.00170491,0.000111783,0.00230846,1e-06,0.00117185,0.000398568,0.0024197,5.10397e-06,0.000789679,0.000833933,0.00209149,6.58702e-06,0.00148024,0.000170196,
0.00682755,0.00376373,0.00357261,0.00478855,0.00190451,0.00573096,0.0044526,0.00495522,0.00586836,0.00442405,0.00314318,0.00558532,0.00615017,0.00413455,0.00216275,0.00620422,0.00536197,0.00413758,0.00390698,0.00492323,
0.0106809,0.0156026,0.00582564,0.00605034,0.00320653,0.00800084,0.00716848,0.00611928,0.00928185,0.0171131,0.00516277,0.00761985,0.00968936,0.0162771,0.00362066,0.00895666,0.00853107,0.00754072,0.00633888,0.00620222,
0.0143554,0.225733,0.00788314,0.0769947,0.00450979,0.0323984,0.00922701,0.0768816,0.0125457,0.214595,0.00704975,0.00231233,0.0130339,0.205098,0.00505688,0.0378261,0.0115479,0.110364,0.00852078,0.0745872,
0.0175105,0.590018,0.010008,0.445051,0.0060614,0.0644784,0.0114357,0.45289,0.0158656,0.711604,0.00888531,0.370471,0.016056,0.660767,0.00677584,0.154837,0.0146392,0.571354,0.0107733,0.482442,
0.0205811,1.1475,0.011892,0.8132,0.00745151,1.29352,0.0134799,0.841072,0.018714,1.43116,0.0107539,1.04933,0.0188929,1.22695,0.00837238,1.27667,0.0169585,0.98851,0.0126322,0.8403,
0.0217482,1.13794,0.0135595,1.59379,0.00895706,1.91579,0.0154929,1.68107,0.0196567,1.31895,0.0124349,1.99801,0.0205033,1.30793,0.00977306,2.16359,0.0187344,1.19237,0.0142593,1.63782,
0.022944,1.09713,0.0140307,1.36252,0.00970197,1.82354,0.0162157,1.49337,0.0206556,1.27588,0.0129164,1.71199,0.0218269,1.28051,0.0103333,1.95714,0.0198228,1.15139,0.0147783,1.4347,
0.0241608,1.14098,0.0144802,1.30767,0.0101979,1.80386,0.0169515,1.45258,0.0216589,1.32985,0.0134035,1.65765,0.0231503,1.31379,0.0108199,1.93883,0.0209194,1.18326,0.0152872,1.36587,
0.0254431,1.16685,0.0149606,1.34838,0.0106892,1.84608,0.0177005,1.50813,0.0227157,1.36874,0.0139085,1.72421,0.0245506,1.34611,0.0113049,2.01894,0.0220656,1.20861,0.01584,1.41391,
