File = source:G03_P01-10_SPRUE_PRESSURE.csv

Title,Packing-Sprue Pressure

Time (sec),Run 37 : G03_P10 (MPa)
0.00128679,0.000494493
0.00364644,0.00656927
0.0059233,0.0146757
0.00813056,0.186685
0.00997989,0.93865
0.0117741,1.66435
0.0128995,1.64257
0.0138771,1.58627
0.0148995,1.57328
0.0159365,1.58016
0.017128,1.58358
0.0184217,1.62074
0.0196839,1.66077
0.02125,1.69464
0.0231271,1.73546
0.0253583,1.7309
0.0275197,1.82213
0.030176,1.84273
0.0332292,1.9129
0.0369098,1.93605
0.0410225,1.99355
0.0451648,2.03974
0.049988,2.08273
0.0547838,2.12472
0.060526,2.16676
0.0661298,2.20836
0.0728169,2.25091
0.0794565,2.29269
0.086205,2.33016
0.0941612,2.37204
0.102008,2.41277
0.109882,2.44939
0.117982,2.48277
0.127499,2.52289
0.136885,2.56038
0.146379,2.59422
0.155916,2.62814
0.167171,2.66646
0.178237,2.70253
0.189619,2.73991
0.200881,2.77253
0.212427,2.80606
0.225936,2.84361
0.239414,2.88245
0.252744,2.91657
0.2664,2.95117
0.280132,2.98411
0.296114,3.02266
0.31204,3.06157
0.32805,3.09895
0.344144,3.13561
0.360301,3.1707
0.376492,3.20578
0.392816,3.23997
0.408943,3.27337
0.427125,3.31528
0.44471,3.36122
0.462577,3.40376
0.480517,3.44549
0.497505,3.49302
0.512813,3.58797
0.528015,3.64168
0.543102,3.70265
0.55817,3.76857
0.573105,3.82993
0.587659,3.89762
0.602017,3.97211
0.61665,4.049
0.630936,4.13513
0.645485,4.21926
0.6597,4.31133
0.674101,4.40509
0.688675,4.49794
0.70311,4.59451
0.715574,4.68033
0.728113,4.76306
0.740813,4.84722
0.753266,4.93352
0.766128,5.01778
0.778965,5.10376
0.791957,5.18896
0.805116,5.27414
0.818393,5.35972
0.831756,5.44413
0.845379,5.52913
0.859058,5.61378
0.872866,5.6977
0.886774,5.78142
0.900822,5.8639
0.915088,5.95648
0.928883,6.03033
0.943303,6.1085
0.957839,6.20045
0.971892,6.28267
0.985819,6.34881
1.00004,6.42296
1.01418,6.49911
1.02812,6.58581
1.04158,6.66051
1.05572,6.73427
1.07,6.82682
1.08377,6.91115
1.09746,6.9915
1.11118,7.0721
1.12498,7.15409
1.13883,7.23582
1.15266,7.30748
1.16684,7.39916
1.18075,7.48539
1.1946,7.56863
1.20835,7.6504
1.22211,7.7329
1.23596,7.8161
1.24985,7.89957
1.26354,7.98322
1.2772,8.06681
1.29069,8.14801
1.304,8.22877
1.3171,8.30833
1.32678,8.37382
1.33438,13.3737
1.34229,18.1873
1.34622,20.387
1.34622,20.387
1.35338,24.2387
1.36075,27.922
1.36834,31.4361
1.37617,34.7807
1.38422,37.9563
1.39252,40.9636
1.40106,43.8041
1.40987,46.4798
1.41893,48.9932
1.42827,51.3472
1.43789,53.5455
1.4478,55.5919
1.458,57.4908
1.46852,59.2471
1.47934,60.866
1.49049,62.3529
1.50198,63.7136
1.51381,64.9542
1.526,66.0808
1.53855,67.0998
1.55147,68.0177
1.56479,68.8409
1.5785,69.5758
1.59263,70.229
1.60718,70.8068
1.62391,71.3746
1.64315,71.9182
1.66528,72.4232
1.69073,72.8753
1.71999,73.263
1.75365,73.5783
1.79235,73.8189
1.83686,73.9885
1.88804,74.0968
1.94434,74.1549
2.00628,74.1828
2.0744,74.1945
2.14934,74.1986
2.23178,74.1998
2.32245,74.2
2.42219,74.2
2.53191,74.2
2.6526,74.2
2.78536,74.2
2.9314,74.2
3.09203,74.2
3.26874,74.2
3.46311,74.2
3.67692,74.2
3.89286,74.2
4.04178,74.2
4.06386,64.2
4.07944,54.2
4.09735,44.4913
4.11795,35.3262
4.14164,26.9576
4.16888,19.6135
4.20021,13.4687
4.23624,8.61605
4.27768,5.04613
4.32532,2.64173
4.38012,1.19418
4.44039,0.474386
4.5067,0.159856
4.57963,0.0432683
4.65985,0.00855578
4.7481,0.0010054
4.96621,1e-06
5.1865,1e-06
5.40899,1e-06
5.63371,1e-06
5.86067,1e-06
6.0899,1e-06
6.32142,1e-06
6.55526,1e-06
6.79144,1e-06
7.02998,1e-06
7.27091,1e-06
7.51424,1e-06
7.76001,1e-06
8.00824,1e-06
8.25895,1e-06
8.51216,1e-06
8.76791,1e-06
9.02621,1e-06
9.2871,1e-06
9.5506,1e-06
9.81673,1e-06
10.0855,1e-06
10.357,1e-06
10.6312,1e-06
10.9081,1e-06
11.1878,1e-06
11.4704,1e-06
11.7557,1e-06
12.0439,1e-06
12.3349,1e-06
12.6289,1e-06
12.9258,1e-06
13.2257,1e-06
13.5286,1e-06
13.8345,1e-06
14.1435,1e-06
14.4555,1e-06
14.7707,1e-06
15.089,1e-06
15.4106,1e-06
15.7353,1e-06
16.0633,1e-06
16.3945,1e-06
16.7291,1e-06
17.067,1e-06
17.4083,1e-06
17.753,1e-06
18.1012,1e-06
18.4528,1e-06
18.6418,1e-06
18.8497,1e-06
