case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case4,279,-88.0,-89.0,4910.86792918435,theta1,5.0,4557.510774126522,4563.235059031351,4676.785524920588,11.355046588923688,1,1,1
Case4,279,-88.0,-89.0,4910.86792918435,theta2,5.0,4557.510774126522,4567.555492978036,4660.3643598970375,9.280886691900104,1,1,1
Case2,007,51.0,-83.0,11050.763333309067,theta1,5.0,10726.407650668054,11859.41915364976,9649.786526904041,-220.9632626745719,1,1,1
Case2,007,51.0,-83.0,11050.763333309067,theta2,5.0,10726.407650668054,10708.452278678313,11211.960129909101,50.35078512307882,1,1,1
Case2,029,52.0,-41.0,15273.761643841104,theta1,5.0,15309.655269855833,15392.314081859577,15271.059176065613,-12.125490579396319,1,1,1
Case2,029,52.0,-41.0,15273.761643841104,theta2,5.0,15309.655269855833,14746.66710412755,15704.532409452959,95.78653053254092,1,1,1
Case3,047,42.0,27.0,16670.4063688223,theta1,5.0,16688.752189486746,16671.156341889164,16908.496445911234,23.73401040220706,2,2,2
Case3,047,42.0,27.0,16670.4063688223,theta2,5.0,16688.752189486746,18589.537140703287,15849.226634223556,-274.0310506479731,2,2,1
Case2,078,29.0,-79.0,18246.36351476399,theta1,5.0,17972.667093172673,19535.05152776495,15793.640585273373,-374.1410942491577,2,2,2
Case2,078,29.0,-79.0,18246.36351476399,theta2,5.0,17972.667093172673,18198.279339782643,17605.376497847043,-59.29028419356,2,2,2
Case4,293,-28.0,11.0,19825.369609052064,theta1,5.0,19414.548665815946,20682.126419451968,18142.998854373374,-253.91275650785937,3,3,3
Case4,293,-28.0,11.0,19825.369609052064,theta2,5.0,19414.548665815946,19333.861180365373,19680.67419620642,34.68130158410459,3,3,3
Case2,083,-12.0,85.0,21304.411023413217,theta1,5.0,20750.127746526356,20304.319548139716,21046.473251208765,74.21537030690487,2,2,2
Case2,083,-12.0,85.0,21304.411023413217,theta2,5.0,20750.127746526356,20917.522793373697,20609.611412820566,-30.79113805531306,2,2,2
Case2,167,-4.0,-6.0,34578.323502431216,theta1,5.0,17867.438564062275,17962.456860672406,17899.231813596853,-6.322504707555344,3,3,3
Case2,167,-4.0,-6.0,34578.323502431216,theta2,5.0,17867.438564062275,18092.691828050374,17838.6901203526,-25.400170769777468,3,3,3
