File= Filling_Pressure.csv
Min = 0.000e+00
Max = 2.801e+01
Avg = 1.007e+01
SD = 7.269e+00

[Distribution]
Group Count= 10
Group,From,To,Center,Count,Volume Ratio(%)
1,0.000e+00,2.801e+00,1.401e+00,231382,2.085e+01
2,2.801e+00,5.602e+00,4.202e+00,187668,1.732e+01
3,5.602e+00,8.403e+00,7.003e+00,113158,1.030e+01
4,8.403e+00,1.120e+01,9.804e+00,86154,7.820e+00
5,1.120e+01,1.401e+01,1.260e+01,106336,9.745e+00
6,1.401e+01,1.681e+01,1.541e+01,108257,9.945e+00
7,1.681e+01,1.961e+01,1.821e+01,122017,1.117e+01
8,1.961e+01,2.241e+01,2.101e+01,98516,8.895e+00
9,2.241e+01,2.521e+01,2.381e+01,38753,3.148e+00
10,2.521e+01,2.801e+01,2.661e+01,28371,8.030e-01
