case,test_id,theta1,theta2,true_pt,variable,delta_deg,base_pt,minus_pt,plus_pt,central_sensitivity_pt_per_deg,base_type_pred,minus_type_pred,plus_type_pred
Case4,054,-17.0,-44.0,3858.23,theta1,5.0,3858.2299999999836,9175.662544444454,8450.020022222268,-72.5642522222186,2,2,2
Case4,054,-17.0,-44.0,3858.23,theta2,5.0,3858.2299999999836,4963.600677777793,6501.817622222256,153.82169444444634,2,2,2
Case4,113,35.0,-2.0,7296.78,theta1,5.0,7296.780000000036,7201.998833333275,7783.602200000006,58.16033666667308,3,3,2
Case4,113,35.0,-2.0,7296.78,theta2,5.0,7296.780000000036,7621.846322222215,7324.6384444443975,-29.720787777781787,3,3,3
Case4,166,-61.0,-3.0,8208.83,theta1,5.0,8208.830000000062,8208.359988888895,8170.368444444439,-3.799154444445594,2,2,2
Case4,166,-61.0,-3.0,8208.83,theta2,5.0,8208.830000000062,8268.58989999996,8184.923588888851,-8.366631111111019,2,2,2
Case2,258,54.0,-18.0,8643.84,theta1,5.0,8643.839999999902,8732.427199999951,8695.586311111141,-3.6840888888809786,2,2,2
Case2,258,54.0,-18.0,8643.84,theta2,5.0,8643.839999999902,8909.254011111132,8380.996788888942,-52.82572222221897,2,2,2
Case3,270,10.0,76.0,8876.44,theta1,5.0,8876.44000000017,8579.27993333334,8819.42575555556,24.014582222221907,2,2,2
Case3,270,10.0,76.0,8876.44,theta2,5.0,8876.44000000017,8882.718388888961,8782.361777777845,-10.035661111111585,2,2,2
Case2,116,12.0,-85.0,9174.09,theta1,5.0,9174.089999999898,8528.15361111109,8947.647966666604,41.94943555555128,2,2,2
Case2,116,12.0,-85.0,9174.09,theta2,5.0,9174.089999999898,9123.259744444378,9080.639111111035,-4.262063333334299,2,2,2
Case2,274,30.0,-25.0,9485.0,theta1,5.0,9485.0,9206.267555555556,9271.319111111121,6.505155555556485,3,3,2
Case2,274,30.0,-25.0,9485.0,theta2,5.0,9485.0,10205.063311111033,8728.085599999962,-147.69777111110707,3,2,3
Case4,092,-38.0,-40.0,13258.17,theta1,5.0,13258.169999999935,12755.428199999942,11035.062322222266,-172.03658777776764,2,2,2
Case4,092,-38.0,-40.0,13258.17,theta2,5.0,13258.169999999935,12641.1074666666,11656.786588888961,-98.432087777764,2,2,2
